ID_mosta,Trieda_PK,Číslo_PK,Názov_mosta,správcovské_číslo,Zemepisná_šírka,Zemepisná_dĺžka,Výška,Druh_konštrukcie,Material,Normálna_zaťažiteľnosť,Výhradná_zaťažiteľnosť_t,Výnimočná_zaťažiteľnosť_t,Spôsob_stanovenia,Predmet_premostenia,Rok_postavenia,Zaťažovacia_trieda_STN,Počet_otvorov,Dĺžka_premostenia,Dĺžka_nosnej_konštrukcie_m,Volná_šírka_mosta,Šírka_medzi_obrubami_m,Plocha_mosnej_konštrukcie_m2,Plocha_mosta_m2,Vlastník_úseku,Správca_úseku,Okres,Počiatočný_uzol,Koncový_uzol,úsek_ID,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024,Quantile_Bin,Quantile_Bin_year
M5545,cesta III. triedy,1848,Most cez potok v obci Libichava,2,48.671301,18.171326,223.043500,trámová,oceľ -  plnostenná,50.000000,128.000000,420.000000,porovnávací výpočet,Vodný tok,1954,Nezistený,1.000000,4.200000,nan,5.750000,nan,nan,nan,TN SK,SC TN SK - PD,Bánovce nad Bebravou,3541A06900,3541A06700,7465,Trenčín,3,3,3,3,3,4,4,4,4,4,4,4,4,"(3.25, 4.6]","(1949.333, 1965.0]"
M7202,cesta III. triedy,1756,Most cez potok v obci Chynorany,1,48.609975,18.274107,177.879000,dosková,monolitický železobetón,13.000000,41.000000,260.000000,podľa tabuliek,Vodný tok,1958,Nezistený,1.000000,4.000000,nan,13.800000,13.100000,nan,nan,TN SK,SC TN SK - PD,Partizánske,3541A15300,3541A03600,398970,Trenčín,3,3,3,3,3,4,4,4,4,4,4,4,4,"(3.25, 4.6]","(1949.333, 1965.0]"
M1622,cesta III. triedy,1756,Most cez rieku Nitra za obcou Chynorany,3,48.601574,18.286399,180.572750,trámová,prefabrikovaný predpätý betón,30.000000,68.000000,123.000000,porovnávací výpočet,Vodný tok,1964,Nezistený,3.000000,52.100000,nan,8.500000,6.500000,nan,nan,TN SK,SC TN SK - PD,Partizánske,3541A16500,3541A16600,398982,Trenčín,4,4,4,4,4,4,4,4,4,4,5,5,5,"(11.0, 260.36]","(1949.333, 1965.0]"
M264,cesta III. triedy,1759,Most cez rieku Nitra pri obci Malé Kršteňany,2,48.637061,18.428842,203.806750,trámová,oceľ -  plnostenná,11.000000,18.000000,31.000000,porovnávací výpočet,Vodný tok,1959,Nezistený,3.000000,44.250000,nan,8.100000,6.000000,nan,nan,TN SK,SC TN SK - PD,Partizánske,3542A08400,3542A35800,398873,Trenčín,5,5,5,5,5,5,5,5,5,5,5,5,5,"(11.0, 260.36]","(1949.333, 1965.0]"
M4539,cesta III. triedy,1759,Most cez potok pred obcou Pažiť,3,48.633907,18.430206,202.533750,dosková,prefabrikovaný železobetón,56.000000,120.000000,330.000000,podľa tabuliek,Vodný tok,1971,Nezistený,1.000000,9.600000,nan,8.200000,7.000000,nan,nan,TN SK,SC TN SK - PD,Partizánske,3542A08400,3542A35800,398873,Trenčín,3,3,3,3,3,4,4,4,4,4,4,4,4,"(6.72, 11.0]","(1965.0, 2022.0]"
M2303,cesta III. triedy,1790,Most cez potok v obci Zemianske Kostoľany,1,48.680176,18.532208,251.858999,dosková,monolitický železobetón,42.000000,68.000000,420.000000,porovnávací výpočet,Vodný tok,1957,Nezistený,1.000000,4.350000,nan,8.380000,6.470000,nan,nan,TN SK,SC TN SK - PD,Prievidza,3524A29300,3542A25800,490714,Trenčín,3,3,3,3,3,4,4,4,4,4,4,3,3,"(3.25, 4.6]","(1949.333, 1965.0]"
M945,cesta III. triedy,1790,Most cez potok v obci Kamenec pod Vtáčnikom,2,48.672644,18.549565,288.510999,dosková,monolitický železobetón,9.000000,16.000000,116.000000,porovnávací výpočet,Vodný tok,1934,Nezistený,1.000000,3.770000,nan,5.560000,nan,nan,nan,TN SK,SC TN SK - PD,Prievidza,3542A26300,3542A26400,490720,Trenčín,4,4,4,4,4,4,4,4,4,4,4,3,3,"(3.25, 4.6]","(999.999, 1949.333]"
M5888,cesta III. triedy,1790,Most cez potok v obci Kamenec pod Vtáčnikom,3,48.672921,18.550074,288.146500,dosková,monolitický železobetón,1.000000,2.000000,11.000000,porovnávací výpočet,Vodný tok,1931,Nezistený,1.000000,4.700000,nan,5.280000,nan,nan,nan,TN SK,SC TN SK - PD,Prievidza,3542A26400,3542A26500,490721,Trenčín,4,4,4,4,4,4,4,4,4,4,4,4,4,"(4.6, 6.72]","(999.999, 1949.333]"
M5698,cesta III. triedy,1790,Most cez odpadový kanál v obci Kamenec pod Vtáčnikom 170/86,4,48.675335,18.552001,281.322000,dosková,monolitický železobetón,8.000000,14.000000,132.000000,porovnávací výpočet,Kanál,1947,Nezistený,1.000000,2.000000,nan,5.600000,nan,nan,nan,TN SK,SC TN SK - PD,Prievidza,3542A26700,3542A26800,490724,Trenčín,4,4,4,4,4,3,3,3,3,3,3,4,4,"(1.999, 3.25]","(999.999, 1949.333]"
M7485,cesta III. triedy,1790,Most cez Lazný potok v obci Kamenec pod Vtáčnikom,5,48.676062,18.554562,279.833750,dosková,monolitický železobetón,50.000000,60.000000,100.000000,odhadom,Vodný tok,1957,Nezistený,1.000000,7.000000,nan,6.020000,5.720000,nan,nan,TN SK,SC TN SK - PD,Prievidza,3542A26800,3542A26900,490725,Trenčín,2,2,2,2,2,4,4,4,4,4,6,6,6,"(6.72, 11.0]","(1949.333, 1965.0]"
M3297,cesta III. triedy,1791,Pracovný názov: 064076_000B pred obcou Lehota pod Vtáčnikom,000B,48.720992,18.575965,284.978000,dosková,Nezistený,0.000000,0.000000,0.000000,Nezistený,Vodný tok,1000,Nezistený,0.000000,nan,nan,nan,nan,nan,nan,TN SK,SC TN SK - PD,Prievidza,3524A07705,3524A26600,7828,Trenčín,0,0,0,0,0,4,4,4,4,4,4,4,4,nan,"(999.999, 1949.333]"
M5650,cesta III. triedy,1791,Pracovný názov: 064076_000C Most pred obcou Lehota pod Vtáčnikom,000C,48.720596,18.576019,285.858500,rámová,Nezistený,0.000000,0.000000,0.000000,Nezistený,Iná prekážka,1000,Nezistený,0.000000,nan,nan,nan,nan,nan,nan,TN SK,SC TN SK - PD,Prievidza,3524A07705,3524A26600,7828,Trenčín,0,0,0,0,0,3,3,3,3,3,3,3,3,nan,"(999.999, 1949.333]"
M1059,cesta III. triedy,1791,Most cez občasný tok v obci Podhradie,2,48.686838,18.619255,453.278999,klenbová,kameň,15.000000,45.000000,168.000000,podľa tabuliek,Vodný tok,1929,Nezistený,1.000000,2.000000,nan,7.850000,7.560000,nan,nan,TN SK,SC TN SK - PD,Prievidza,3524A27800,3524A27900,490694,Trenčín,4,4,4,4,4,4,4,4,4,4,4,4,3,"(1.999, 3.25]","(999.999, 1949.333]"
