ÚSEK,CESTA,OKRES,T,O,M,S
91091,49,Púchov,598,5289,50,5937
91096,49,Púchov,737,4164,50,4951
92211,49,Púchov,1129,13233,59,14421
91086,49A,Púchov,2133,10442,71,12646
81830,54,Nové Mesto nad Váhom,475,2635,38,3148
81840,54,Nové Mesto nad Váhom,507,3044,59,3610
81841,54,Nové Mesto nad Váhom,2992,15289,124,18405
81842,54,Nové Mesto nad Váhom,1861,6405,60,8326
81846,54,Nové Mesto nad Váhom,1832,6322,51,8205
80690,57,Trenčín,734,3629,50,4413
80698,57,Trenčín,1798,9098,53,10949
80699,57,Trenčín,329,1446,38,1813
86630,57,Ilava,1978,15822,58,17858
80030,61,Trenčín,1158,5906,75,7139
80031,61,Trenčín,1517,12732,143,14392
80032,61,Trenčín,1570,14846,134,16550
80033,61,Trenčín,1059,10689,95,11843
80034,61,Trenčín,1637,10975,109,12721
80035,61,Trenčín,3240,30081,149,33470
80040,61,Trenčín,1323,11973,101,13397
80050,61,Trenčín,1620,15792,146,17558
80251,61,Nové Mesto nad Váhom,2115,7704,82,9901
80257,61,Nové Mesto nad Váhom,905,5247,33,6185
80260,61,Nové Mesto nad Váhom,1051,6334,39,7424
80270,61,Trenčín,1165,5641,58,6864
90010,61,Ilava,1324,9203,94,10621
90011,61,Ilava,1806,18327,138,20271
90012,61,Ilava,1552,15196,118,16866
90019,61,Trenčín,1979,18080,99,20158
90020,61,Ilava,996,6076,80,7152
90021,61,Ilava,1883,14473,229,16585
90022,61,Ilava,1151,9000,67,10218
90026,61,Ilava,725,4107,34,4866
90030,61,Púchov,604,3978,75,4657
90040,61,Považská Bystrica,751,4693,48,5492
90041,61,Považská Bystrica,1090,7754,66,8910
90042,61,Považská Bystrica,943,6900,85,7928
90050,61,Považská Bystrica,751,5910,100,6761
90059,61,Považská Bystrica,537,4391,66,4994
86170,61A,Trenčín,2286,13879,30,16195
86530,61A,Trenčín,2158,24497,167,26822
86540,61A,Trenčín,1461,17042,88,18591
90027,61B,Púchov,507,2987,48,3542
80600,64,Partizánske,1294,5615,18,6927
80611,64,Partizánske,1806,12754,81,14641
80612,64,Partizánske,1434,7844,53,9331
80620,64,Partizánske,1311,9633,60,11004
80628,64,Partizánske,1275,7832,39,9146
91419,64,Prievidza,530,1916,33,2479
91420,64,Prievidza,626,3182,52,3860
91430,64,Prievidza,1567,9167,74,10808
91440,64,Prievidza,1739,12303,115,14157
91441,64,Prievidza,2212,17662,70,19944
91442,64,Prievidza,2495,17072,131,19698
91443,64,Prievidza,2330,15912,152,18394
91460,64,Prievidza,1368,8789,82,10239
91461,64,Prievidza,1897,11238,59,13194
91462,64,Prievidza,1750,11291,124,13165
91470,64,Prievidza,980,5972,97,7049
81870,499,Myjava,238,1552,28,1818
81871,499,Myjava,202,1246,36,1484
81872,499,Myjava,1722,9256,83,11061
81880,499,Myjava,470,2497,10,2977
81881,499,Myjava,280,1534,5,1819
81890,499,Myjava,313,1376,24,1713
81958,500,Myjava,121,865,20,1006
82010,501,Myjava,337,1310,52,1699
82011,501,Myjava,633,3011,50,3694
82079,504,Nové Mesto nad Váhom,684,4316,28,5028
82080,504,Nové Mesto nad Váhom,729,4682,54,5465
82081,504,Nové Mesto nad Váhom,843,9887,59,10789
82082,504,Nové Mesto nad Váhom,818,7634,105,8557
81820,507,Trenčín,1630,14783,91,16504
81821,507,Trenčín,892,14639,79,15610
81822,507,Trenčín,968,14317,116,15401
81823,507,Trenčín,961,9263,95,10319
82219,507,Nové Mesto nad Váhom,599,1848,34,2481
82220,507,Nové Mesto nad Váhom,230,1178,27,1435
82240,507,Nové Mesto nad Váhom,209,1208,47,1464
82250,507,Trenčín,539,4312,75,4926
82260,507,Trenčín,257,2343,43,2643
82270,507,Trenčín,336,2685,47,3068
82271,507,Trenčín,587,4872,75,5534
82272,507,Trenčín,474,5533,91,6098
82278,507,Trenčín,534,3234,53,3821
92190,507,Ilava,462,3274,47,3783
92198,507,Ilava,584,3258,44,3886
92200,507,Ilava,684,3581,42,4307
92206,507,Púchov,629,3518,46,4193
92210,507,Púchov,515,4793,48,5356
92212,507,Púchov,1104,12213,101,13418
92220,507,Púchov,432,3766,42,4240
92230,507,Považská Bystrica,768,5552,50,6370
92240,507,Považská Bystrica,661,5681,31,6373
82459,511,Partizánske,460,4366,35,4861
90347,512,Prievidza,304,1618,20,1942
90348,512,Prievidza,476,2800,27,3303
83630,515,Nové Mesto nad Váhom,3116,14467,80,17663
86640,515,Nové Mesto nad Váhom,1020,6358,88,7466
82498,516,Bánovce nad Bebravou,401,2862,24,3287
82500,516,Trenčín,380,2125,29,2534
82510,516,Trenčín,367,2411,32,2810
82520,516,Trenčín,836,7341,52,8229
92371,517,Považská Bystrica,2135,15079,103,17317
92372,517,Považská Bystrica,2161,16088,137,18386
92380,517,Považská Bystrica,667,5361,38,6066
92381,517,Považská Bystrica,1037,9054,56,10147
92390,517,Považská Bystrica,518,3182,23,3723
92408,517,Považská Bystrica,553,2555,40,3148
91488,519,Prievidza,730,3531,60,4321
92770,574,Ilava,360,1930,59,2349
92776,574,Ilava,879,6845,65,7789
92788,574,Ilava,244,1188,53,1485
92789,574,Prievidza,341,1430,92,1863
92790,574,Prievidza,375,1505,56,1936
92800,574,Prievidza,471,2825,98,3394
92810,574,Prievidza,718,4589,84,5391
93220,574,Ilava,864,5328,32,6224
93222,574,Ilava,605,5288,99,5992
96180,574,Ilava,1976,9844,47,11867
82740,579,Partizánske,995,5513,28,6536
82741,579,Partizánske,1134,6231,22,7387
80961,581,Myjava,1063,4569,46,5678
80980,581,Nové Mesto nad Váhom,1474,6689,39,8202
80990,581,Nové Mesto nad Váhom,1889,7325,76,9290
83561,581,Myjava,1104,6890,84,8078
83569,581,Myjava,1032,4836,22,5890
85531,581,Nové Mesto nad Váhom,1230,5997,67,7294
85532,581,Nové Mesto nad Váhom,1341,5883,69,7293
85539,581,Myjava,898,3892,12,4802
80670,592,Bánovce nad Bebravou,1156,6719,47,7922
86050,592,Partizánske,1030,3467,34,4531
83670,593,Partizánske,743,5161,47,5951
83690,593,Partizánske,1044,5308,22,6374
83697,593,Partizánske,583,4060,43,4686
85150,1184,Myjava,36,236,2,274
85680,1186,Myjava,118,545,4,667
83982,1187,Myjava,1087,7981,50,9118
83570,1203,Myjava,222,1515,1,1738
83578,1203,Myjava,185,1195,8,1388
83981,1204,Myjava,431,4142,10,4583
86040,1204,Myjava,128,1084,8,1220
80971,1211,Myjava,773,3592,40,4405
80972,1211,Nové Mesto nad Váhom,571,4198,15,4784
80978,1211,Myjava,248,1434,11,1693
80979,1211,Nové Mesto nad Váhom,84,625,14,723
83600,1223,Nové Mesto nad Váhom,308,1853,23,2184
85090,1225,Trenčín,313,1908,39,2260
84790,1229,Nové Mesto nad Váhom,43,683,21,747
84800,1229,Nové Mesto nad Váhom,124,876,3,1003
86190,1230,Nové Mesto nad Váhom,878,5411,39,6328
84020,1237,Nové Mesto nad Váhom,83,784,9,876
84021,1237,Nové Mesto nad Váhom,149,1296,12,1457
84030,1238,Nové Mesto nad Váhom,128,941,5,1074
84031,1238,Nové Mesto nad Váhom,267,1784,11,2062
86026,1242,Nové Mesto nad Váhom,294,2091,11,2396
84859,1261,Myjava,175,856,16,1047
80680,1745,Partizánske,292,2203,12,2507
83680,1750,Partizánske,335,2079,26,2440
83688,1750,Partizánske,229,938,43,1210
84690,1753,Partizánske,336,2272,20,2628
84710,1753,Bánovce nad Bebravou,188,1068,13,1269
83651,1770,Bánovce nad Bebravou,1055,7821,41,8917
83652,1770,Bánovce nad Bebravou,401,2407,17,2825
83656,1770,Bánovce nad Bebravou,132,1608,12,1752
83658,1770,Bánovce nad Bebravou,248,2327,22,2597
95050,1773,Prievidza,455,6035,44,6534
95060,1773,Prievidza,165,759,8,932
95066,1773,Prievidza,274,2353,23,2650
93270,1774,Prievidza,444,5856,51,6351
93271,1774,Prievidza,1771,14296,105,16172
93272,1774,Prievidza,1478,19516,108,21102
93276,1774,Prievidza,242,2335,35,2612
93277,1774,Prievidza,350,2871,75,3296
95630,1775,Prievidza,715,9016,70,9801
95637,1775,Prievidza,284,3254,34,3572
95070,1776,Prievidza,646,8896,60,9602
95080,1778,Prievidza,405,2872,24,3301
95086,1778,Prievidza,268,2292,32,2592
93750,1791,Prievidza,598,3554,25,4177
93218,1796,Prievidza,78,446,26,550
95097,1799,Prievidza,302,3959,62,4323
83640,1823,Bánovce nad Bebravou,406,3176,28,3610
85360,1824,Bánovce nad Bebravou,173,1115,11,1299
85977,1842,Bánovce nad Bebravou,96,824,12,932
84720,1846,Bánovce nad Bebravou,137,1081,11,1229
85970,1861,Bánovce nad Bebravou,165,1470,7,1642
85978,1861,Trenčín,170,1373,20,1563
85979,1861,Bánovce nad Bebravou,111,776,4,891
84760,1862,Trenčín,83,838,12,933
86310,1867,Trenčín,13,134,4,151
84001,1880,Trenčín,504,4970,29,5503
84010,1880,Trenčín,281,2349,23,2653
85130,1881,Trenčín,293,3029,20,3342
84820,1882,Trenčín,485,3589,36,4110
86180,1885,Trenčín,553,5039,39,5631
93250,1912,Ilava,269,2089,55,2413
93257,1912,Ilava,200,1671,47,1918
93258,1912,Ilava,61,350,30,441
95041,1915,Ilava,157,2683,39,2879
93230,1922,Ilava,233,2092,14,2339
93239,1922,Ilava,96,567,6,669
96160,1924,Ilava,76,1162,34,1272
93221,1930,Ilava,361,2446,29,2836
95940,1936,Púchov,16,209,8,233
95321,1944,Púchov,671,5832,65,6568
95322,1944,Púchov,208,1683,23,1914
94210,1946,Púchov,65,419,6,490
94211,1946,Púchov,559,4373,79,5011
94212,1946,Púchov,166,1747,17,1930
94220,1947,Považská Bystrica,375,3299,41,3715
94226,1947,Považská Bystrica,217,2142,22,2381
94227,1947,Považská Bystrica,51,359,7,417
93240,1951,Púchov,167,1601,18,1786
93260,1976,Považská Bystrica,419,3905,33,4357
93266,1976,Považská Bystrica,99,425,15,539
94430,1978,Považská Bystrica,456,4338,12,4806
93790,1983,Považská Bystrica,131,1069,17,1217
93791,1983,Považská Bystrica,1461,7840,58,9359
93792,1983,Považská Bystrica,1217,5512,54,6783
94838,2112,Ilava,66,452,23,541
87036,D1,Trnava,10734,38336,115,49185
87040,D1,Hlohovec,7140,24076,71,31286
87060,D1,Hlohovec,7631,24337,70,32038
87070,D1,Piešťany,7081,21392,60,28533
87009,D2,Senica,10036,9245,52,19332
80318,R1,Galanta,8594,30540,54,39188
80796,R1,Trnava,4419,27680,102,32201
80815,R1,Galanta,11864,39084,83,51031
80816,R1,Galanta,9384,34981,101,44466
80817,R1,Galanta,9960,35108,79,45147
80818,R1,Trnava,8573,40280,112,48966
80819,R1,Galanta,11134,34574,82,45790
86550,R1,Trnava,10267,37884,69,48220
86660,R7,Dunajská Streda,2048,10535,39,12622
86670,R7,Dunajská Streda,1842,6765,25,8632
80066,2,Senica,1574,7083,27,8684
80070,2,Senica,513,3632,49,4194
81862,2,Skalica,1246,11843,64,13153
81866,2,Skalica,800,6226,42,7068
81867,2,Senica,622,3737,30,4389
82126,13,Dunajská Streda,1001,2883,49,3933
85470,13,Dunajská Streda,857,1768,13,2638
85471,13,Dunajská Streda,1241,4682,17,5940
85477,13,Dunajská Streda,1164,2307,57,3528
80830,35,Galanta,3435,9831,90,13356
86560,35,Galanta,3106,5702,21,8829
80196,51,Trnava,3612,7785,48,11445
80710,51,Skalica,1010,4343,33,5386
80711,51,Skalica,1607,7377,49,9033
80712,51,Skalica,1576,6216,38,7830
80720,51,Skalica,1764,4553,41,6358
80730,51,Skalica,1704,4817,30,6551
80740,51,Senica,1570,4075,31,5676
80741,51,Senica,2797,13994,77,16868
80742,51,Senica,2193,6571,81,8845
80750,51,Senica,2408,5963,59,8430
80768,51,Senica,2263,4137,42,6442
80769,51,Trnava,2430,3925,45,6400
80770,51,Trnava,2419,4723,32,7174
80780,51,Trnava,2877,8574,64,11515
85520,51,Trnava,5692,21268,80,27040
85522,51,Trnava,4515,15510,84,20109
85526,51,Trnava,4608,19204,88,23900
80179,61,Trnava,635,3331,40,4006
80190,61,Trnava,1360,11173,69,12602
80191,61,Trnava,2002,12740,105,14847
80200,61,Trnava,940,8261,55,9256
80207,61,Hlohovec,689,5961,66,6716
80210,61,Hlohovec,637,4031,40,4708
80220,61,Hlohovec,886,5806,75,6767
80230,61,Piešťany,650,6299,55,7004
80231,61,Piešťany,814,7286,34,8134
80232,61,Piešťany,1053,12483,71,13607
80233,61,Piešťany,903,6878,73,7854
80248,61,Piešťany,725,7011,53,7789
80250,61,Piešťany,770,6488,49,7307
80793,61,Trnava,1802,19578,101,21481
80795,61,Trnava,2641,23819,107,26567
80289,62,Galanta,1816,6894,46,8756
80296,62,Galanta,2407,8622,78,11107
80297,62,Galanta,2691,8804,89,11584
80300,62,Galanta,2050,5779,48,7877
80306,62,Galanta,2213,6190,67,8470
80310,62,Galanta,773,6149,47,6969
80811,62,Galanta,1000,13374,31,14405
80812,62,Galanta,1102,10320,87,11509
80814,62,Galanta,825,4233,159,5217
81471,63,Dunajská Streda,1373,12720,169,14262
81479,63,Dunajská Streda,1009,10317,86,11412
81480,63,Dunajská Streda,1088,8802,99,9989
81490,63,Dunajská Streda,647,4747,37,5431
81496,63,Dunajská Streda,761,5107,29,5897
81500,63,Dunajská Streda,3310,14294,74,17678
81507,63,Dunajská Streda,2968,8777,33,11778
81510,63,Dunajská Streda,2463,9537,64,12064
81516,63,Dunajská Streda,3400,9904,45,13349
81517,63,Dunajská Streda,3270,8418,43,11731
81520,63,Dunajská Streda,1983,6185,35,8203
81521,63,Dunajská Streda,1901,8750,52,10703
81522,63,Dunajská Streda,1584,5554,41,7179
81523,63,Dunajská Streda,2283,6734,56,9073
81526,63,Dunajská Streda,2168,5597,28,7793
81538,63,Dunajská Streda,1544,5140,49,6733
81330,75,Galanta,1945,9347,72,11364
81340,75,Galanta,2618,10564,47,13229
86570,75,Galanta,2199,5727,58,7984
86580,75,Galanta,2936,6901,31,9868
86590,75,Galanta,3145,7472,49,10666
86120,211,Dunajská Streda,743,1904,12,2659
80060,425,Senica,161,2031,18,2210
80069,425,Skalica,237,1869,10,2116
81860,426,Skalica,1473,11626,121,13220
81861,426,Skalica,1144,9499,64,10707
84200,426,Skalica,497,1884,20,2401
81901,499,Piešťany,767,3931,69,4767
81902,499,Piešťany,1407,10685,108,12200
81909,499,Piešťany,397,2339,22,2758
81910,499,Piešťany,1711,11464,59,13234
81911,499,Piešťany,1277,12447,80,13804
81912,499,Piešťany,1729,14134,92,15955
81913,499,Piešťany,1096,12497,192,13785
81916,499,Piešťany,1653,8636,94,10383
81917,499,Piešťany,1562,9206,49,10817
81928,499,Piešťany,706,3974,66,4746
80910,500,Senica,792,3663,24,4479
80920,500,Senica,1053,4293,32,5378
80930,500,Senica,1515,6052,62,7629
80940,500,Senica,1155,6843,44,8042
80941,500,Senica,1120,7810,85,9015
80942,500,Senica,781,6453,55,7289
80950,500,Senica,641,3352,45,4038
81950,500,Senica,133,882,12,1027
82000,501,Senica,412,1198,38,1648
82007,501,Senica,484,1913,55,2452
81060,502,Trnava,449,1973,39,2461
81067,502,Trnava,488,2561,38,3087
81080,502,Trnava,679,2990,39,3708
83400,502,Piešťany,534,3060,38,3632
83401,502,Piešťany,681,3953,48,4682
83410,502,Trnava,530,3000,44,3574
83420,502,Trnava,407,1761,24,2192
83427,502,Trnava,383,1352,15,1750
81590,503,Dunajská Streda,1058,7744,44,8846
81597,503,Dunajská Streda,1799,11526,74,13399
81600,503,Dunajská Streda,944,5044,36,6024
81618,503,Dunajská Streda,1038,3966,31,5035
80794,504,Trnava,1552,8749,43,10344
82039,504,Trnava,295,4923,30,5248
82040,504,Trnava,492,3518,55,4065
82041,504,Trnava,1287,13413,80,14780
82050,504,Piešťany,390,2442,24,2856
82060,504,Piešťany,581,4223,44,4848
82078,504,Piešťany,406,2383,36,2825
82100,506,Dunajská Streda,305,1700,21,2026
82116,506,Dunajská Streda,405,2408,21,2834
82117,506,Dunajská Streda,428,3017,35,3480
82120,506,Dunajská Streda,319,2273,40,2632
82127,506,Dunajská Streda,303,1922,32,2257
80821,507,Galanta,1394,10818,92,12304
80831,507,Galanta,849,9827,53,10729
80832,507,Galanta,913,11556,106,12575
80840,507,Galanta,1215,4046,26,5287
80841,507,Galanta,1067,11604,90,12761
80858,507,Galanta,843,2929,35,3807
80859,507,Galanta,1397,4338,23,5758
80866,507,Dunajská Streda,1443,5702,34,7179
80871,507,Dunajská Streda,1388,14396,125,15909
82130,507,Dunajská Streda,528,5276,45,5849
82140,507,Dunajská Streda,882,6748,34,7664
82141,507,Dunajská Streda,1315,11674,93,13082
82158,507,Galanta,346,3041,19,3406
82159,507,Hlohovec,212,1277,8,1497
82170,507,Hlohovec,326,2906,21,3253
82171,507,Hlohovec,1573,14180,57,15810
82181,507,Hlohovec,1546,10211,113,11870
82190,507,Hlohovec,496,4629,108,5233
82200,507,Piešťany,268,1816,46,2130
82201,507,Piešťany,768,6969,85,7822
82218,507,Piešťany,577,2579,30,3186
85992,507,Galanta,763,8226,50,9039
82940,510,Dunajská Streda,354,2041,13,2408
82946,510,Dunajská Streda,400,2810,22,3232
82970,510,Galanta,1046,4589,32,5667
82979,510,Galanta,493,3157,42,3692
81130,513,Hlohovec,621,3609,18,4248
81136,513,Hlohovec,2152,11790,37,13979
81140,513,Hlohovec,2126,15538,137,17801
81141,513,Hlohovec,1392,11977,86,13455
81159,513,Hlohovec,1312,6209,64,7585
82460,514,Hlohovec,398,2335,31,2764
83440,560,Trnava,621,7419,33,8073
83446,560,Trnava,372,2734,25,3131
82530,561,Dunajská Streda,580,3435,24,4039
82531,561,Dunajská Streda,558,2939,12,3509
82540,561,Dunajská Streda,449,1342,21,1812
82556,561,Dunajská Streda,761,1558,8,2327
82558,561,Dunajská Streda,1069,3086,20,4175
82559,561,Galanta,1008,2503,23,3534
82560,561,Galanta,839,1825,16,2680
82570,561,Galanta,1283,5293,23,6599
82576,561,Galanta,888,2592,27,3507
82581,561,Galanta,949,8961,71,9981
82582,561,Galanta,2009,10013,119,12141
81502,572,Dunajská Streda,1061,14750,102,15913
81503,572,Dunajská Streda,968,15906,115,16989
81506,572,Dunajská Streda,997,9564,37,10598
82660,572,Dunajská Streda,665,4250,29,4944
82669,572,Dunajská Streda,646,5028,54,5728
82670,572,Dunajská Streda,590,3684,31,4305
82677,572,Dunajská Streda,739,5376,31,6146
82680,572,Dunajská Streda,531,4904,21,5456
82690,572,Dunajská Streda,535,6221,25,6781
82691,572,Dunajská Streda,975,17776,98,18849
83030,573,Galanta,984,4427,12,5423
80960,581,Senica,757,2721,28,3506
85960,581,Senica,406,1394,24,1824
82806,590,Senica,360,2255,27,2642
82807,590,Senica,500,2543,45,3088
83540,590,Skalica,257,3247,36,3540
83541,590,Skalica,361,4272,43,4676
83550,590,Senica,110,782,15,907
85761,1056,Dunajská Streda,571,6259,62,6892
85769,1056,Dunajská Streda,262,3584,22,3868
86119,1062,Dunajská Streda,645,3075,37,3757
82980,1067,Galanta,271,1655,22,1948
85650,1111,Senica,180,1167,17,1364
86150,1121,Skalica,267,2567,29,2863
81850,1130,Skalica,50,783,7,840
81851,1130,Skalica,137,2283,19,2439
84570,1134,Skalica,284,1878,26,2188
84571,1134,Skalica,215,1893,22,2130
84572,1134,Skalica,245,2191,23,2459
84576,1134,Skalica,188,1965,19,2172
83520,1140,Senica,309,2356,20,2685
83526,1140,Senica,217,1734,14,1965
86320,1144,Senica,139,1573,13,1725
85640,1145,Senica,132,690,5,827
81852,1146,Skalica,665,8776,50,9491
83580,1146,Skalica,251,3309,24,3584
83581,1146,Skalica,520,7337,59,7916
83586,1146,Senica,204,1401,16,1621
83587,1146,Skalica,126,834,18,978
83590,1149,Senica,240,2135,18,2393
83591,1149,Senica,726,6183,29,6938
83596,1149,Senica,161,1004,11,1176
85950,1155,Senica,128,898,21,1047
85951,1155,Skalica,194,2211,31,2436
84590,1169,Senica,140,854,49,1043
83850,1257,Piešťany,332,2530,26,2888
83851,1257,Piešťany,445,3412,33,3890
84858,1261,Piešťany,310,1817,9,2136
83430,1265,Piešťany,153,718,14,885
85980,1266,Piešťany,302,1549,26,1877
84890,1267,Piešťany,308,1442,26,1776
85160,1277,Trnava,144,1470,14,1628
83490,1279,Trnava,723,3563,31,4317
83491,1279,Trnava,685,4696,20,5401
83496,1279,Trnava,369,3289,53,3711
86400,1286,Trnava,329,2612,16,2957
86410,1286,Trnava,244,1334,13,1591
83470,1287,Trnava,277,2696,29,3002
83471,1287,Trnava,723,8342,61,9126
83500,1291,Trnava,522,1976,49,2547
83508,1291,Trnava,303,1522,20,1845
83460,1295,Trnava,765,6409,48,7222
83468,1295,Trnava,140,1137,10,1287
83450,1299,Trnava,314,2778,30,3122
83456,1299,Trnava,129,915,10,1054
85540,1300,Trnava,255,2409,17,2681
85550,1301,Trnava,280,1857,27,2164
85556,1301,Trnava,135,1064,25,1224
84880,1310,Hlohovec,375,1812,14,2201
85690,1311,Hlohovec,226,1615,9,1850
85696,1311,Trnava,149,1244,11,1404
85590,1313,Galanta,512,2446,48,3006
85598,1313,Galanta,363,1593,12,1968
83390,1315,Hlohovec,162,1493,11,1666
85510,1319,Hlohovec,444,3631,60,4135
85517,1319,Hlohovec,627,5059,47,5733
82960,1320,Galanta,543,5417,60,6020
82961,1320,Galanta,751,7371,92,8214
85170,1320,Hlohovec,439,2673,39,3151
85176,1320,Trnava,604,4780,83,5467
80813,1331,Galanta,978,10251,0,11229
80291,1333,Galanta,586,3960,38,4584
80292,1333,Galanta,658,6091,70,6819
86030,1333,Galanta,392,2136,15,2543
83871,1334,Galanta,483,3313,33,3829
83877,1334,Galanta,412,2496,22,2930
83878,1334,Galanta,325,2136,30,2491
82950,1336,Galanta,309,1522,14,1845
82951,1336,Galanta,558,3142,36,3736
83880,1337,Galanta,166,1318,18,1502
83881,1337,Galanta,219,2337,22,2578
86420,1337,Trnava,353,2316,30,2699
86430,1337,Trnava,218,1384,11,1613
84300,1340,Galanta,504,2510,23,3037
85810,1345,Galanta,356,2116,41,2513
85820,1345,Galanta,187,1160,19,1366
83861,1347,Galanta,106,550,11,667
85830,1349,Galanta,314,1558,9,1881
83841,1352,Galanta,273,4637,19,4929
85850,1355,Galanta,226,1860,28,2114
82860,1382,Dunajská Streda,325,1891,28,2244
82910,1394,Dunajská Streda,365,3232,29,3626
82920,1394,Dunajská Streda,303,1374,11,1688
82927,1394,Dunajská Streda,202,1386,15,1603
82880,1395,Dunajská Streda,478,4165,41,4684
82900,1395,Dunajská Streda,267,1684,8,1959
82840,1399,Dunajská Streda,301,2085,13,2399
83831,1405,Dunajská Streda,293,3716,14,4023
83838,1405,Dunajská Streda,97,1235,4,1336
86130,1406,Dunajská Streda,773,6688,37,7498
86500,1408,Dunajská Streda,370,2362,27,2759
82870,1418,Dunajská Streda,1208,4466,35,5709
82871,1418,Dunajská Streda,571,4947,23,5541
82876,1418,Dunajská Streda,251,1447,22,1720
85580,1421,Dunajská Streda,384,2357,113,2854
85586,1421,Dunajská Streda,203,1504,33,1740
85587,1421,Dunajská Streda,182,2251,46,2479
85240,1422,Dunajská Streda,86,474,6,566
85770,1429,Dunajská Streda,250,1496,43,1789
85780,1431,Dunajská Streda,227,1645,12,1884
86440,1435,Dunajská Streda,30,384,4,418
97170,D1,Bytča,8382,19079,61,27522
97180,D1,Bytča,9111,20470,67,29649
97220,D1,Ružomberok,4519,15046,72,19637
97230,D1,Liptovský Mikuláš,4633,15746,68,20448
97250,D1,Liptovský Mikuláš,3587,12444,49,16080
97260,D1,Liptovský Mikuláš,4022,14247,49,18319
97270,D1,Liptovský Mikuláš,4031,14583,44,18658
97280,D1,Martin,3276,9185,39,12500
97290,D1,Martin,3627,11060,50,14737
97340,D1,Žilina,1089,2816,11,3916
97190,D3,Žilina,7439,18311,87,25837
97300,D3,Žilina,2165,3633,20,5818
97310,D3,Čadca,1551,923,10,2484
97320,D3,Čadca,3886,4600,31,8517
97330,D3,Čadca,4977,4197,35,9208
95780,R3,Dolný Kubín,2002,4942,27,6971
95840,R3,Tvrdošín,999,1654,33,2686
95850,R3,Tvrdošín,1756,2783,25,4564
95970,R3,Turčianske Teplice,2387,3732,60,6179
96120,R3,Martin,988,2827,13,3828
90310,10,Čadca,1492,2568,49,4109
90319,10,Čadca,1399,2668,74,4141
90328,10,Čadca,1479,2640,64,4183
90329,10,Bytča,1459,2418,33,3910
90330,10,Bytča,1544,5648,25,7217
90331,10,Bytča,1698,7221,71,8990
90332,10,Bytča,2442,10533,98,13073
90260,11,Čadca,919,6265,20,7204
90261,11,Čadca,1925,12002,56,13983
90262,11,Čadca,1030,6167,45,7242
90269,11,Čadca,3983,3758,28,7769
90270,11,Čadca,911,5791,35,6737
90271,11,Čadca,1074,6639,41,7754
90272,11,Čadca,699,8848,36,9583
90273,11,Čadca,2447,14685,49,17181
90280,11,Čadca,5461,9000,58,14519
90290,11,Kysucké Nové Mesto,6090,12354,60,18504
90291,11,Kysucké Nové Mesto,5816,11507,70,17393
90292,11,Kysucké Nové Mesto,6583,14792,65,21440
90302,11,Žilina,6392,29944,201,36537
90303,11,Žilina,7739,36069,187,43995
90308,11,Kysucké Nové Mesto,6466,15869,89,22424
90309,11,Žilina,6847,19859,92,26798
96070,11,Čadca,556,2869,18,3443
96080,11,Žilina,4990,16011,94,21095
90275,11A,Čadca,1897,8711,51,10659
90276,11A,Čadca,5212,10454,68,15734
90274,11B,Čadca,841,1477,9,2327
94750,12,Čadca,376,3099,12,3487
94751,12,Čadca,289,2160,14,2463
94752,12,Čadca,207,1774,13,1994
94759,12,Čadca,64,569,5,638
91500,14,Turčianske Teplice,450,2152,39,2641
90100,18,Žilina,6765,21477,91,28333
90101,18,Žilina,7281,18507,115,25903
90111,18,Martin,4168,13754,72,17994
90118,18,Žilina,6310,15747,49,22106
90119,18,Martin,6321,18915,89,25325
90120,18,Martin,3573,15382,69,19024
90130,18,Martin,2595,14618,82,17295
90140,18,Martin,1488,7701,111,9300
90149,18,Martin,1136,4674,43,5853
90158,18,Dolný Kubín,4482,12383,68,16933
90169,18,Ružomberok,3470,12320,90,15880
90170,18,Ružomberok,3364,11501,51,14916
90171,18,Ružomberok,3828,14122,63,18013
90172,18,Ružomberok,5828,23665,87,29580
90173,18,Ružomberok,3458,11935,47,15440
90174,18,Ružomberok,5361,20931,122,26414
90180,18,Ružomberok,5343,18757,47,24147
90181,18,Ružomberok,5285,20401,67,25753
90187,18,Ružomberok,5256,18247,105,23608
90190,18,Ružomberok,446,2848,87,3381
90200,18,Liptovský Mikuláš,588,6161,59,6808
90201,18,Liptovský Mikuláš,1893,18428,98,20419
90202,18,Liptovský Mikuláš,2088,18891,81,21060
90203,18,Liptovský Mikuláš,924,11900,73,12897
90204,18,Liptovský Mikuláš,2037,22184,140,24361
90210,18,Liptovský Mikuláš,1233,11264,130,12627
90211,18,Liptovský Mikuláš,1311,12695,123,14129
90220,18,Liptovský Mikuláš,1186,9315,91,10592
90221,18,Liptovský Mikuláš,1119,8878,90,10087
90230,18,Liptovský Mikuláš,851,4665,76,5592
90240,18,Liptovský Mikuláš,189,1601,52,1842
90247,18,Liptovský Mikuláš,719,4955,63,5737
90250,18,Liptovský Mikuláš,149,1275,35,1459
90258,18,Liptovský Mikuláš,185,1501,38,1724
96090,18,Martin,3113,8728,60,11901
96100,18,Martin,2105,10674,63,12842
96110,18,Martin,2057,12628,88,14773
96119,18,Martin,4553,13810,73,18436
90690,59,Ružomberok,1614,6281,23,7918
90700,59,Ružomberok,2131,8597,61,10789
90711,59,Ružomberok,2755,12913,116,15784
90712,59,Ružomberok,3380,16156,100,19636
90720,59,Ružomberok,2025,6402,33,8460
