ID_mosta,Zemepisná_dĺžka,Zemepisná_šírka,Počiatočný_uzol,Koncový_uzol,úsek_ID,StartNode_Latitude,StartNode_Longitude,EndNode_Latitude,EndNode_Longitude,Hexagon_Coordinates,car_route_distance,car_route_time,car_route_coordinates,car_alt_route_distance,car_alt_route_time,car_alt_route_coordinates,truck_route_distance,truck_route_time,truck_route_coordinates,truck_alt_route_distance,truck_alt_route_time,truck_alt_route_coordinates
M5349,18.2514462,48.663347291,3541A07000,3541A10000,7458,48.66211131,18.23927165,48.66413563,18.25431027,"[(48.663347291, 18.251718218045887), (48.66350288377133, 18.251582209022946), (48.66350288377133, 18.251310190977055), (48.663347291, 18.251174181954113), (48.66319169822867, 18.251310190977055), (48.66319169822867, 18.251582209022946), (48.663347291, 18.251718218045887)]",,,,,,,,,,,,
M3272,18.201452741,48.651217919,3541A04800,3541A11300,7471,48.65359636,18.20362681,48.64815161,18.19837813,"[(48.651217919, 18.201724693604003), (48.651373511771325, 18.201588717302002), (48.651373511771325, 18.201316764698), (48.651217919, 18.201180788395998), (48.65106232622867, 18.201316764698), (48.65106232622867, 18.201588717302002), (48.651217919, 18.201724693604003)]",,,,,,,,,,,,
M2731,18.173397797,48.669753893,3541A06800,3541A06900,7467,48.66785722,18.17177109,48.67186271,18.17255118,"[(48.669753893, 18.173669849629214), (48.66990948577133, 18.173533823314607), (48.66990948577133, 18.173261770685393), (48.669753893, 18.173125744370786), (48.66959830022867, 18.173261770685393), (48.66959830022867, 18.173533823314607), (48.669753893, 18.173669849629214)]",,,,,,,,,,,,
M5545,18.171325987,48.671300789,3541A06900,3541A06700,7465,48.67186271,18.17255118,48.67029667,18.16915269,"[(48.671300789, 18.171598047981306), (48.67145638177133, 18.17146201749065), (48.67145638177133, 18.171189956509348), (48.671300789, 18.171053926018693), (48.67114519622867, 18.171189956509348), (48.67114519622867, 18.17146201749065), (48.671300789, 18.171598047981306)]",,,,,,,,,,,,
M7202,18.274107085,48.609974809,3541A15300,3541A03600,398970,48.61086026,18.27244829,48.60985845,18.27418009,"[(48.609974809, 18.27437881541049), (48.61013040177133, 18.274242950205245), (48.61013040177133, 18.273971219794756), (48.609974809, 18.27383535458951), (48.60981921622867, 18.273971219794756), (48.60981921622867, 18.274242950205245), (48.609974809, 18.27437881541049)]",,,,,,,,,,,,
M1622,18.286398508,48.601574139,3541A16500,3541A16600,398982,48.60569443,18.28199861,48.59338099,18.28956759,"[(48.601574139, 18.286670193214395), (48.60172973177133, 18.286534350607198), (48.60172973177133, 18.286262665392805), (48.601574139, 18.286126822785608), (48.60141854622867, 18.286262665392805), (48.60141854622867, 18.286534350607198), (48.601574139, 18.286670193214395)]",,,,,,,,,,,,
M264,18.428842188,48.63706101,3542A08400,3542A35800,398873,48.63755525,18.42874618,48.63378405,18.43090673,"[(48.63706101, 18.429114064278114), (48.637216602771325, 18.428978126139057), (48.637216602771325, 18.428706249860944), (48.63706101, 18.428570311721888), (48.63690541722867, 18.428706249860944), (48.63690541722867, 18.428978126139057), (48.63706101, 18.429114064278114)]",,,,,,,,,,,,
M4539,18.430205708,48.633906753,3542A08400,3542A35800,398873,48.63755525,18.42874618,48.63378405,18.43090673,"[(48.633906753, 18.430477567280274), (48.634062345771326, 18.430341637640137), (48.634062345771326, 18.43006977835986), (48.633906753, 18.429933848719724), (48.63375116022867, 18.43006977835986), (48.63375116022867, 18.430341637640137), (48.633906753, 18.430477567280274)]",,,,,,,,,,,,
M2303,18.532208123,48.680175644,3524A29300,3542A25800,490714,48.68233362,18.52711259,48.68018799,18.53220985,"[(48.680175644, 18.532480231912682), (48.68033123677133, 18.53234417745634), (48.68033123677133, 18.53207206854366), (48.680175644, 18.531936014087318), (48.680020051228674, 18.53207206854366), (48.680020051228674, 18.53234417745634), (48.680175644, 18.532480231912682)]",,,,,,,,,,,,
M945,18.549564952,48.67264382,3542A26300,3542A26400,490720,48.67160667,18.54737955,48.67272239,18.54970578,"[(48.67264382, 18.54983702023325), (48.672799412771326, 18.549700986116626), (48.672799412771326, 18.549428917883375), (48.67264382, 18.54929288376675), (48.67248822722867, 18.549428917883375), (48.67248822722867, 18.549700986116626), (48.67264382, 18.54983702023325)]",,,,,,,,,,,,
M5888,18.55007439,48.672920977,3542A26400,3542A26500,490721,48.67272239,18.54970578,48.67443476,18.55115577,"[(48.672920977, 18.55034645972988), (48.673076569771325, 18.55021042486494), (48.673076569771325, 18.54993835513506), (48.672920977, 18.549802320270118), (48.67276538422867, 18.54993835513506), (48.67276538422867, 18.55021042486494), (48.672920977, 18.55034645972988)]",,,,,,,,,,,,
M5698,18.55200081,48.675334793,3542A26700,3542A26800,490724,48.67529144,18.55193641,48.676067,18.55423413,"[(48.675334793, 18.552272892765277), (48.675490385771326, 18.552136851382638), (48.675490385771326, 18.55186476861736), (48.675334793, 18.55172872723472), (48.67517920022867, 18.55186476861736), (48.67517920022867, 18.552136851382638), (48.675334793, 18.552272892765277)]",,,,,,,,,,,,
M7485,18.554562169,48.67606174,3542A26800,3542A26900,490725,48.676067,18.55423413,48.67691944,18.55561955,"[(48.67606174, 18.55483425569137), (48.67621733277133, 18.554698212345684), (48.67621733277133, 18.554426125654317), (48.67606174, 18.55429008230863), (48.67590614722867, 18.554426125654317), (48.67590614722867, 18.554698212345684), (48.67606174, 18.55483425569137)]",,,,,,,,,,,,
M4869,18.574746134,48.724322541,3524A07707,3524A07705,7837,48.72504068,18.57353325,48.72300379,18.57560828,"[(48.724322541, 18.57501848168988), (48.72447813377133, 18.57488230784494), (48.72447813377133, 18.574609960155062), (48.724322541, 18.574473786310122), (48.72416694822867, 18.574609960155062), (48.72416694822867, 18.57488230784494), (48.724322541, 18.57501848168988)]",,,,,,,,,,,,
M3297,18.57596487,48.720992126,3524A07705,3524A26600,7828,48.72300379,18.57560828,48.71342911,18.58076589,"[(48.720992126, 18.57623719965642), (48.72114771877133, 18.57610103482821), (48.72114771877133, 18.57582870517179), (48.720992126, 18.57569254034358), (48.72083653322867, 18.57582870517179), (48.72083653322867, 18.57610103482821), (48.720992126, 18.57623719965642)]",,,,,,,,,,,,
M5650,18.576019389,48.720595926,3524A07705,3524A26600,7828,48.72300379,18.57560828,48.71342911,18.58076589,"[(48.720595926, 18.576291716511303), (48.72075151877133, 18.57615555275565), (48.72075151877133, 18.575883225244347), (48.720595926, 18.575747061488695), (48.72044033322867, 18.575883225244347), (48.72044033322867, 18.57615555275565), (48.720595926, 18.576291716511303)]",,,,,,,,,,,,
M1059,18.619255151,48.686837696,3524A27800,3524A27900,490694,48.69087872,18.60860424,48.68505322,18.62674397,"[(48.686837696, 18.619527295908526), (48.686993288771326, 18.619391223454265), (48.686993288771326, 18.619119078545737), (48.686837696, 18.618983006091476), (48.68668210322867, 18.619119078545737), (48.68668210322867, 18.619391223454265), (48.686837696, 18.619527295908526)]",,,,,,,,,,,,
M3233,18.356791206,48.417849799,3544A10300,3544A10400,285807,48.41793306,18.35714774,48.41777176,18.35651205,"[(48.417849799, 18.357061907964823), (48.41800539177133, 18.356926556982412), (48.41800539177133, 18.35665585501759), (48.417849799, 18.356520504035178), (48.417694206228674, 18.35665585501759), (48.417694206228674, 18.356926556982412), (48.417849799, 18.357061907964823)]",,,,,,,,,,,,
