ID_mosta,Zemepisná_dĺžka,Zemepisná_šírka,Počiatočný_uzol,Koncový_uzol,úsek_ID,ID_Mosta,ID_úseku,Start,End,Okres,StartNode_Latitude,StartNode_Longitude,EndNode_Latitude,EndNode_Longitude,Hexagon_Coordinates
M3276,20.682807137,49.003711761,3721A29700,3721A29800,405302,M3276,80,3721A00100,3721A00400,Levoča,49.00705472,20.76675014,,,"[(49.003711761, 20.683081009379485), (49.00386735377133, 20.682944073189745), (49.00386735377133, 20.682670200810257), (49.003711761, 20.682533264620517), (49.00355616822867, 20.682670200810257), (49.00355616822867, 20.682944073189745), (49.003711761, 20.683081009379485)]"
M618,18.156527732,48.791633278,3523A31600,3523A31700,382704,M618,80640,3523A00500,3523A00400,Trenčín,48.79136933,18.16123766,,,"[(48.791633278, 18.156800444872903), (48.79178887077133, 18.15666408843645), (48.79178887077133, 18.15639137556355), (48.791633278, 18.156255019127098), (48.79147768522867, 18.15639137556355), (48.79147768522867, 18.15666408843645), (48.791633278, 18.156800444872903)]"
M1481,18.250250856,48.724238292,3523A01100,3523A38000,8993,M1481,80661,3523A01201,3523A01100,Bánovce nad Bebravou,48.71221711,18.255525,48.72455409,18.25013918,"[(48.724238292, 18.250523203233648), (48.72439388477133, 18.250387029616824), (48.72439388477133, 18.250114682383177), (48.724238292, 18.249978508766354), (48.724082699228674, 18.250114682383177), (48.724082699228674, 18.250387029616824), (48.724238292, 18.250523203233648)]"
M3959,18.383804468,48.695056415,3524A07400,3524B00200,398912,M3959,83668,3524B00200,3523A01300,Partizánske,48.69504735,18.38378068,48.69810311,18.28568265,"[(48.695056415, 18.38407665733342), (48.69521200777133, 18.383940562666712), (48.69521200777133, 18.38366837333329), (48.695056415, 18.383532278666582), (48.694900822228675, 18.38366837333329), (48.694900822228675, 18.383940562666712), (48.695056415, 18.38407665733342)]"
M562,18.867866353,48.580997819,3631A28200,3631A28300,386110,M562,92151,3631A00102,3631A00803,Žiar nad Hronom,48.57935835,18.87294091,48.58671657,18.86061986,"[(48.580997819, 18.86813792760073), (48.581153411771325, 18.868002140300366), (48.581153411771325, 18.867730565699635), (48.580997819, 18.86759477839927), (48.58084222622867, 18.867730565699635), (48.58084222622867, 18.868002140300366), (48.580997819, 18.86813792760073)]"
M5723,19.334897026,48.545845803,3641A14801,3641A00501,665921,M5723,90490,3641A03000,3632A01802,Detva,48.54349381,19.39255726,48.54930833,19.30402787,"[(48.545845803, 19.335168411920563), (48.54600139577133, 19.33503271896028), (48.54600139577133, 19.33476133303972), (48.545845803, 19.334625640079437), (48.54569021022867, 19.33476133303972), (48.54569021022867, 19.33503271896028), (48.545845803, 19.335168411920563)]"
M801,19.642474101,48.375213151,3643A01100,3643A22400,3766,M801,90536,3643A01201,3643A01100,Lučenec,48.36739107,19.64914755,48.37884172,19.63713974,"[(48.375213151, 19.64274457619697), (48.375368743771325, 19.642609338598486), (48.375368743771325, 19.642338863401516), (48.375213151, 19.64220362580303), (48.37505755822867, 19.642338863401516), (48.37505755822867, 19.642609338598486), (48.375213151, 19.64274457619697)]"
M2191,19.995275431,48.391020489,3644A00302,3733A35700,4293,M2191,90590,3733A00603,3644A00302,Rimavská Sobota,48.39194097,20.02017324,48.3903462,19.9930204,"[(48.391020489, 19.995545990208285), (48.39117608177133, 19.99541071060414), (48.39117608177133, 19.99514015139586), (48.391020489, 19.995004871791714), (48.39086489622867, 19.99514015139586), (48.39086489622867, 19.99541071060414), (48.391020489, 19.995545990208285)]"
M4121,20.316429784,48.423772574,3733A01600,3733A08900,4255,M4121,90641,3733A00100,3733A01600,Revúca,48.42311636,20.32240234,48.42467063,20.31163061,"[(48.423772574, 20.316700517507723), (48.423928166771326, 20.31656515075386), (48.423928166771326, 20.31629441724614), (48.423772574, 20.316159050492278), (48.42361698122867, 20.31629441724614), (48.42361698122867, 20.31656515075386), (48.423772574, 20.316700517507723)]"
M5754,22.211309242,48.730923491,3823A01000,3823A16200,2370,M5754,360,3823A01100,3823A00103,Sobrance,48.6867608,22.24055843,48.73825567,22.20865407,"[(48.730923491, 22.21158162544234), (48.73107908377133, 22.211445433721167), (48.73107908377133, 22.21117305027883), (48.730923491, 22.21103685855766), (48.73076789822867, 22.21117305027883), (48.73076789822867, 22.211445433721167), (48.730923491, 22.21158162544234)]"
M6188,18.659612124,48.235971272,4522A01400,4611A23000,8067,M6188,81750,4611A00300,4522A00609,Levice,48.2635198,18.70932548,48.22427228,18.61878992,"[(48.235971272, 18.659881862300676), (48.23612686477133, 18.659746993150335), (48.23612686477133, 18.659477254849662), (48.235971272, 18.659342385699322), (48.23581567922867, 18.659477254849662), (48.23581567922867, 18.659746993150335), (48.235971272, 18.659881862300676)]"
M5574,18.929235785,48.268684144,4611A00801,4611A29400,2330,M5574,91620,4611A00101,4611B00100,Krupina,48.28404231,18.98708501,48.26531294,18.82616285,"[(48.268684144, 18.929505695919556), (48.268839736771326, 18.929370740459778), (48.268839736771326, 18.92910082954022), (48.268684144, 18.928965874080443), (48.26852855122867, 18.92910082954022), (48.26852855122867, 18.929370740459778), (48.268684144, 18.929505695919556)]"
M3843,18.926562735,48.354578798,3633A14500,3633A41000,234173,M3843,92538,3633A01200,4611B00500,Banská Štiavnica,48.36273662,18.92308473,48.3362671,18.95307089,"[(48.354578798, 18.926833100640927), (48.35473439077133, 18.926697917820462), (48.35473439077133, 18.92642755217954), (48.354578798, 18.926292369359075), (48.35442320522867, 18.92642755217954), (48.35442320522867, 18.926697917820462), (48.354578798, 18.926833100640927)]"
M3516,18.977657501,48.509415482,3633A13402,3631A02100,1372789,M3516,91650,3632B00700,3633A01700,Banská Štiavnica,48.54159717,19.00407535,48.47515227,18.91155564,"[(48.509415482, 18.977928691763115), (48.50957107477133, 18.977793096381557), (48.50957107477133, 18.977521905618442), (48.509415482, 18.977386310236884), (48.50925988922867, 18.977521905618442), (48.50925988922867, 18.977793096381557), (48.509415482, 18.977928691763115)]"
M3265,19.124915855,48.778806376,3614A40700,3614A00801,744980,M3265,90660,3614A00101,3614A06005,Banská Bystrica,48.78988435,19.10380261,48.75190104,19.13884248,"[(48.778806376, 19.125188498178176), (48.77896196877133, 19.125052176589087), (48.77896196877133, 19.124779533410916), (48.778806376, 19.124643211821827), (48.77865078322867, 19.124779533410916), (48.77865078322867, 19.125052176589087), (48.778806376, 19.125188498178176)]"
M5373,19.288572217,48.99947047,3612A10300,3612A03400,1004712,M5373,90700,3612A03900,3612A00400,Ružomberok,49.02339126,19.29266644,48.95286174,19.26110684,"[(48.99947047, 19.288846066057445), (48.99962606277133, 19.288709141528724), (48.99962606277133, 19.288435292471274), (48.99947047, 19.288298367942552), (48.99931487722867, 19.288435292471274), (48.99931487722867, 19.288709141528724), (48.99947047, 19.288846066057445)]"
M2489,19.303192746,49.085504971,2634A00313,2634A02703,1004750,M2489,90721,2634A29100,2634A00305,Ružomberok,49.10232932,19.30454339,49.0850341,19.30267197,"[(49.085504971, 19.303467069217117), (49.08566056377133, 19.303329907608557), (49.08566056377133, 19.303055584391444), (49.085504971, 19.302918422782884), (49.08534937822867, 19.303055584391444), (49.08534937822867, 19.303329907608557), (49.085504971, 19.303467069217117)]"
M6759,17.145321145,48.156203986,4424A01809,4424A01810,7397,M6759,84161,4424A02003,4424A01202,Bratislava II,48.16134336,17.14095362,48.15108006,17.14847041,"[(48.156203986, 17.14559046367737), (48.15635957877133, 17.145455804338685), (48.15635957877133, 17.145186485661316), (48.156203986, 17.145051826322632), (48.15604839322867, 17.145186485661316), (48.15604839322867, 17.145455804338685), (48.156203986, 17.14559046367737)]"
M1693,17.418436401,48.261798391,4511A21900,4511A22000,372153,M1693,80150,4511A01601,4511A00201,Senec,48.26353087,17.42284757,48.24304788,17.35825715,"[(48.261798391, 17.418706275559234), (48.26195398377133, 17.41857133827962), (48.26195398377133, 17.418301463720383), (48.261798391, 17.418166526440768), (48.26164279822867, 17.418301463720383), (48.26164279822867, 17.41857133827962), (48.261798391, 17.418706275559234)]"
M5221,17.568473971,48.347689069,3533A02701,3533A28600,6626,M5221,80190,3533A28900,4511A02102,Trnava,,,48.3150242,17.50559284,"[(48.347689069, 17.56874430008816), (48.347844661771326, 17.56860913554408), (48.347844661771326, 17.56833880645592), (48.347689069, 17.56820364191184), (48.34753347622867, 17.56833880645592), (48.34753347622867, 17.56860913554408), (48.347689069, 17.56874430008816)]"
M5492,17.64997038,48.407182327,3533A25200,3534A33500,436990,M5492,80200,3534A00101,3533A02202,Trnava,48.43733686,17.70139157,48.38958163,17.61223891,"[(48.407182327, 17.650241025178943), (48.40733791977133, 17.65010570258947), (48.40733791977133, 17.649835057410527), (48.407182327, 17.649699734821056), (48.40702673422867, 17.649835057410527), (48.40702673422867, 17.65010570258947), (48.407182327, 17.650241025178943)]"
M6211,18.034455281,48.894944854,3521A51704,3521A00401,389074,M6211,80032,3521A00401,3521A00304,Trenčín,48.89375266,18.03649227,48.89960171,18.0292673,"[(48.894944854, 18.034728557016425), (48.89510044677133, 18.03459191900821), (48.89510044677133, 18.03431864299179), (48.894944854, 18.034182004983574), (48.894789261228674, 18.03431864299179), (48.894789261228674, 18.03459191900821), (48.894944854, 18.034728557016425)]"
M1885,18.470583394,49.156696957,2544A57000,2544A08411,945273,M1885,90059,2544B00600,2544A00800,Považská Bystrica,49.17553539,18.5067297,49.14078533,18.46989009,"[(49.156696957, 18.470858111287978), (49.15685254977133, 18.470720752643988), (49.15685254977133, 18.47044603535601), (49.156696957, 18.47030867671202), (49.15654136422867, 18.47044603535601), (49.15654136422867, 18.470720752643988), (49.156696957, 18.470858111287978)]"
M3054,18.540328694,49.196973589,2542A01101,2542A01001,1763,M3054,90069,2542A01001,2544B00600,Bytča,49.20027415,18.54539869,49.17553539,18.5067297,"[(49.196973589, 18.54060363492233), (49.19712918177133, 18.540466164461165), (49.19712918177133, 18.540191223538834), (49.196973589, 18.540053753077668), (49.196817996228674, 18.540191223538834), (49.196817996228674, 18.540466164461165), (49.196973589, 18.54060363492233)]"
M2437,17.728370438,48.282674985,4512A22700,4512A22800,507743,M2437,80811,4512A00200,4512A00102,Galanta,48.28497777,17.73380794,48.28219368,17.72718895,"[(48.282674985, 17.728640422840606), (48.28283057777133, 17.728505430420302), (48.28283057777133, 17.728235445579696), (48.282674985, 17.728100453159392), (48.28251939222867, 17.728235445579696), (48.28251939222867, 17.728505430420302), (48.282674985, 17.728640422840606)]"
M1514,18.143206219,47.76215808,4543A14200,4543A14301,369248,M1514,80412,4543A00600,4543A00106,Komárno,47.76721901,18.15334412,47.76274984,18.1312361,"[(47.76215808, 18.14347349132844), (47.76231367277133, 18.143339855164218), (47.76231367277133, 18.14307258283578), (47.76215808, 18.14293894667156), (47.76200248722867, 18.14307258283578), (47.76200248722867, 18.143339855164218), (47.76215808, 18.14347349132844)]"
M4653,18.584740079,47.784954124,4544A08400,4544A08500,418392,M4653,83138,4544A00900,4544B00100,Nové Zámky,47.79012927,18.60218802,47.7618374,18.51143372,"[(47.784954124, 18.585007468520523), (47.78510971677133, 18.58487377376026), (47.78510971677133, 18.584606384239738), (47.784954124, 18.584472689479476), (47.784798531228674, 18.584606384239738), (47.784798531228674, 18.58487377376026), (47.784954124, 18.585007468520523)]"
M3882,18.183842362,48.554608215,3541A08705,3541A55200,427991,M3882,80564,3541A08801,3541A01800,Topoľčany,48.53941949,18.14960711,,,"[(48.554608215, 18.184113794919146), (48.55476380777133, 18.18397807845957), (48.55476380777133, 18.18370664554043), (48.554608215, 18.183570929080854), (48.55445262222867, 18.18370664554043), (48.55445262222867, 18.18397807845957), (48.554608215, 18.184113794919146)]"
M4962,18.219416859,48.60137404,3541A47400,3541A00700,427119,M4962,80570,3541A00700,3541A00602,Topoľčany,48.60211774,18.22040288,48.57425178,18.18941203,"[(48.60137404, 18.219688543138105), (48.60152963277133, 18.219552701069052), (48.60152963277133, 18.219281016930946), (48.60137404, 18.219145174861893), (48.601218447228675, 18.219281016930946), (48.601218447228675, 18.219552701069052), (48.60137404, 18.219688543138105)]"
M6016,18.624989645,48.766570377,3524A11300,3524A36600,954229,M6016,91443,3524A50100,3524A00202,Prievidza,48.76898854,18.62533212,48.76280139,18.62434375,"[(48.766570377, 18.625262221740027), (48.76672596977133, 18.62512593337001), (48.76672596977133, 18.624853356629988), (48.766570377, 18.624717068259972), (48.76641478422867, 18.624853356629988), (48.76641478422867, 18.62512593337001), (48.766570377, 18.625262221740027)]"
M121,18.727188541,49.178379886,2633A41100,2633A41200,402155,M121,91360,2633A42600,2633A01600,Žilina,49.18870125,18.73374213,49.16892874,18.72093945,"[(49.178379886, 18.72746337861945), (49.17853547877133, 18.727325959809725), (49.17853547877133, 18.727051122190275), (49.178379886, 18.72691370338055), (49.17822429322867, 18.727051122190275), (49.17822429322867, 18.727325959809725), (49.178379886, 18.72746337861945)]"
M5828,18.147843268,48.330093679,4521A32600,4521A32700,509754,M5828,80350,4521A02400,4521A00204,Nitra,48.33971713,18.16704009,48.31706234,18.11058846,"[(48.330093679, 18.148113503800154), (48.33024927177133, 18.14797838590008), (48.33024927177133, 18.14770815009992), (48.330093679, 18.147573032199844), (48.32993808622867, 18.14770815009992), (48.32993808622867, 18.14797838590008), (48.330093679, 18.148113503800154)]"
M7339,18.379678773,48.354953261,3544A05307,3544A00201,93380,M7339,80380,3544A00201,3544A00301,Zlaté Moravce,48.36021913,18.38369665,48.34994622,18.36641237,"[(48.354953261, 18.379949140627993), (48.35510885377133, 18.379813956813997), (48.35510885377133, 18.379543589186), (48.354953261, 18.379408405372004), (48.35479766822867, 18.379543589186), (48.35479766822867, 18.379813956813997), (48.354953261, 18.379949140627993)]"
M2721,18.619312763,48.401243213,3544A30800,3544A30900,423675,M2721,90810,3544A31000,3544A02706,Žarnovica,48.4092365,18.63287222,48.36289084,18.57813021,"[(48.401243213, 18.619583376577797), (48.40139880577133, 18.6194480697889), (48.40139880577133, 18.6191774562111), (48.401243213, 18.619042149422203), (48.40108762022867, 18.6191774562111), (48.40108762022867, 18.6194480697889), (48.401243213, 18.619583376577797)]"
M5155,18.891821663,48.605425248,3631A36901,3631A37002,386204,M5155,91350,3631A01900,3631A00206,Žiar nad Hronom,48.65387178,18.91038776,48.59012299,18.89542915,"[(48.605425248, 18.892093368930997), (48.60558084077133, 18.891957515965498), (48.60558084077133, 18.891685810034506), (48.605425248, 18.891549957069007), (48.605269655228675, 18.891685810034506), (48.605269655228675, 18.891957515965498), (48.605425248, 18.892093368930997)]"
M6288,18.905363436,48.765469094,3613A01100,3613A05200,2421,M6288,91320,3613A01200,3613B00200,Turčianske Teplice,48.7778947,18.88083939,48.75080705,18.90137031,"[(48.765469094, 18.905636006762556), (48.765624686771325, 18.905499721381275), (48.765624686771325, 18.90522715061872), (48.765469094, 18.90509086523744), (48.76531350122867, 18.90522715061872), (48.76531350122867, 18.905499721381275), (48.765469094, 18.905636006762556)]"
M1973,18.965491169,48.245773916,4611A01300,4611A01400,2397,M1973,91600,4611A01400,4611A01300,Krupina,48.26405533,18.99077836,48.21293146,18.92843582,"[(48.245773916, 18.965760958994746), (48.245929508771326, 18.965626063997373), (48.245929508771326, 18.965356274002627), (48.245773916, 18.965221379005254), (48.24561832322867, 18.965356274002627), (48.24561832322867, 18.965626063997373), (48.245773916, 18.965760958994746)]"
M2889,19.117412792,48.533722647,3632A16300,3632A02100,474204,M2889,91530,3632A32900,3632A02000,Zvolen,48.56498822,19.13385752,48.51820071,19.09882467,"[(48.533722647, 19.11768411293339), (48.533878239771326, 19.117548452466693), (48.533878239771326, 19.117277131533307), (48.533722647, 19.11714147106661), (48.53356705422867, 19.117277131533307), (48.53356705422867, 19.117548452466693), (48.533722647, 19.11768411293339)]"
M2717,19.229849207,48.745044411,3614A01400,3614A01501,2892,M2717,90897,3623A00501,3614A01504,Banská Bystrica,48.78080315,19.33766586,48.7461297,19.23288128,"[(48.745044411, 19.230121666968586), (48.74520000377133, 19.229985436984293), (48.74520000377133, 19.22971297701571), (48.745044411, 19.229576747031416), (48.744888818228674, 19.22971297701571), (48.744888818228674, 19.229985436984293), (48.745044411, 19.230121666968586)]"
M5243,19.482796949,48.81313604,3623A01209,3623A26700,493358,M5243,90920,3623A01300,3623A01209,Brezno,,,48.81222985,19.4518354,"[(48.81313604, 19.483069778818404), (48.81329163277133, 19.4829333639092), (48.81329163277133, 19.4826605340908), (48.81313604, 19.482524119181598), (48.812980447228675, 19.4826605340908), (48.812980447228675, 19.4829333639092), (48.81313604, 19.483069778818404)]"
M3592,20.44036306,48.714229935,3714A00102,3714A10800,4813,M3592,650,3714A00401,3714A00102,Rožňava,48.71642288,20.42468082,48.71129433,20.47389158,"[(48.714229935, 20.44063535305083), (48.71438552777133, 20.440499206525413), (48.71438552777133, 20.440226913474586), (48.714229935, 20.44009076694917), (48.71407434222867, 20.440226913474586), (48.71407434222867, 20.440499206525413), (48.714229935, 20.44063535305083)]"
M5392,20.344645001,49.103832589,2734A19200,2734A19300,318864,M5392,1300,2734A00600,2733A05921,Kežmarok,,,49.07304091,20.32798013,"[(49.103832589, 20.34491942551787), (49.10398818177133, 20.344782213258934), (49.10398818177133, 20.344507788741065), (49.103832589, 20.34437057648213), (49.10367699622867, 20.344507788741065), (49.10367699622867, 20.344782213258934), (49.103832589, 20.34491942551787)]"
M5624,20.42473,49.13855,2734A15601,2734A01101,318803,M5624,1313,2734A01101,2734A00502,Kežmarok,49.13861067,20.42462947,49.13446683,20.42815558,"[(49.13855, 20.425004616690906), (49.13870559277133, 20.42486730834545), (49.13870559277133, 20.42459269165455), (49.13855, 20.424455383309095), (49.138394407228674, 20.42459269165455), (49.138394407228674, 20.42486730834545), (49.13855, 20.425004616690906)]"
M6289,20.68637,49.30669,2741A02002,2741A27900,5202,M6289,861,2741A05201,2741A00100,Stará Ľubovňa,49.30558386,20.68717357,49.30983369,20.68275935,"[(49.30669, 20.686645552661037), (49.30684559277133, 20.68650777633052), (49.30684559277133, 20.68623222366948), (49.30669, 20.686094447338963), (49.306534407228675, 20.68623222366948), (49.306534407228675, 20.68650777633052), (49.30669, 20.686645552661037)]"
M6062,21.083708972,49.109070417,2744A12400,2744A12500,292294,M6062,933,2744A01000,2744A12400,Sabinov,,,49.11402544,21.07577276,"[(49.109070417, 21.0839834254874), (49.10922600977133, 21.0838461987437), (49.10922600977133, 21.0835717452563), (49.109070417, 21.0834345185126), (49.10891482422867, 21.0835717452563), (49.10891482422867, 21.0838461987437), (49.109070417, 21.0839834254874)]"
M5833,21.25067,48.9906,3722A39400,3722A00902,455330,M5833,153,3722A01600,3722A51100,Prešov,,,48.99387695,21.24842264,"[(48.9906, 21.25094380029814), (48.99075559277133, 21.25080690014907), (48.99075559277133, 21.25053309985093), (48.9906, 21.25039619970186), (48.99044440722867, 21.25053309985093), (48.99044440722867, 21.25080690014907), (48.9906, 21.25094380029814)]"
M1211,19.227349748,49.202099545,2632A00300,2632A16400,2791,M1211,91230,2632A00600,2634A00200,Dolný Kubín,49.21207577,19.2725001,49.19293107,19.19454868,"[(49.202099545, 19.227624717419864), (49.20225513777133, 19.227487232709933), (49.20225513777133, 19.22721226329007), (49.202099545, 19.22707477858014), (49.201943952228675, 19.22721226329007), (49.201943952228675, 19.227487232709933), (49.202099545, 19.227624717419864)]"
M1195,19.941654404,48.661439887,3642A13900,3642A16500,394922,M1195,92000,3624A00100,3642A13000,Rimavská Sobota,48.68097741,19.94305003,48.62268165,19.95402296,"[(48.661439887, 19.941926411751933), (48.66159547977133, 19.941790407875967), (48.66159547977133, 19.941518400124036), (48.661439887, 19.94138239624807), (48.66128429422867, 19.941518400124036), (48.66128429422867, 19.941790407875967), (48.661439887, 19.941926411751933)]"
M6817,19.646389052,48.806011604,3623A29100,3623A26501,1036060,M6817,92061,3623A00200,3623A04300,Brezno,48.80629629,19.64426871,48.80504084,19.64835685,"[(48.806011604, 19.646661843055888), (48.80616719677133, 19.646525447527942), (48.80616719677133, 19.646252656472058), (48.806011604, 19.646116260944112), (48.80585601122867, 19.646252656472058), (48.80585601122867, 19.646525447527942), (48.806011604, 19.646661843055888)]"
M885,21.54719241,49.1683246,2833A02503,2833A13600,260119,M885,1379,2833A02600,2833A02403,Svidník,49.18142156,21.55368821,49.13337682,21.5501635,"[(49.1683246, 21.547467191798688), (49.16848019277133, 21.547329800899345), (49.16848019277133, 21.547055019100657), (49.1683246, 21.546917628201314), (49.16816900722867, 21.547055019100657), (49.16816900722867, 21.547329800899345), (49.1683246, 21.547467191798688)]"
M5001,21.564725213,49.213660056,2831A00400,2831A20400,5800,M5001,1386,2831A00501,2831A00400,Svidník,49.24378334,21.58457327,49.21200164,21.56295311,"[(49.213660056, 21.565000246719798), (49.21381564877133, 21.5648627298599), (49.21381564877133, 21.564587696140098), (49.213660056, 21.5644501792802), (49.213504463228674, 21.564587696140098), (49.213504463228674, 21.5648627298599), (49.213660056, 21.565000246719798)]"
M6681,21.832794828,48.888937282,3812B00400,3812B00500,982487,M6681,1789,3812A07302,3812B00200,Humenné,48.92909527,21.87149901,,,"[(48.888937282, 21.833068071181582), (48.88909287477133, 21.83293144959079), (48.88909287477133, 21.83265820640921), (48.888937282, 21.83252158481842), (48.88878168922867, 21.83265820640921), (48.88878168922867, 21.83293144959079), (48.888937282, 21.833068071181582)]"
