ID_mosta,Trieda_PK,Číslo_PK,Názov_mosta,správcovské_číslo,Zemepisná_šírka,Zemepisná_dĺžka,Výška,Druh_konštrukcie,Material,Normálna_zaťažiteľnosť,Výhradná_zaťažiteľnosť_t,Výnimočná_zaťažiteľnosť_t,Spôsob_stanovenia,Predmet_premostenia,Rok_postavenia,Zaťažovacia_trieda_STN,Počet_otvorov,Dĺžka_premostenia,Dĺžka_nosnej_konštrukcie_m,Volná_šírka_mosta,Šírka_medzi_obrubami_m,Plocha_mosnej_konštrukcie_m2,Plocha_mosta_m2,Vlastník_úseku,Správca_úseku,Okres,Počiatočný_uzol,Koncový_uzol,úsek_ID,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024
M7099,cesta I. triedy,2,"Most nad traťou ŽSR, Lamač BA",2-033,48.18906,17.0472,258.09,klenbová,monolitický železobetón,50.0,60.0,100.0,statický výpočet,Železnica,1946,Nezistený,1,31,33.8,14,10,Nezistený,493,BA,MAG-BA,Bratislava IV,4422A45001,4422A45101,460763,Bratislava,5,5,5,5,5,5,5,5,5,5,5,5,5
M6538,cesta I. triedy,2,Nezistený,34,48.171003006,17.072509059,218.180999,trámová,prefabrikovaný železobetón,39.0,144.0,277.0,podľa tabuliek,Miestna komunikácia,1978,Nezistený,1,4.06,Nezistený,35.5,20,Nezistený,Nezistený,BA,MAG-BA,Bratislava IV,4422A50001,4422A50002,526578,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3,3
M4156,cesta I. triedy,2,Nezistený,35,48.168776802,17.076409559,175.231246948242,dosková,prefabrikovaný železobetón,24.0,43.0,144.0,porovnávací výpočet,Podchod pre chodcov,1979,Nezistený,1,6.9,Nezistený,11,11,Nezistený,Nezistený,BA,MAG-BA,Bratislava IV,4422A05700,4424A00101,7405,Bratislava,4,4,4,4,4,4,4,4,4,4,4,4,4
M1920,cesta I. triedy,2,"Most na podchodom ku gymnáziu, vetva križovatky 2.1. Petržalka BA",2-040.1,48.130647403,17.103763044,184.601999,trámová,prefabrikovaný železobetón,36.0,81.0,306.0,statický výpočet,Miestna komunikácia,1989,Nezistený,1,6.76,7.5,9,9,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,4424A05517,4424A05518,7579,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3,4
M2301,cesta I. triedy,2,Nájazd z Einsteinovej ulice na Panónsku cestu pri Sade Janka Kráľa,2-040.2,48.132621202,17.106123715,182.698999,trámová,prefabrikovaný železobetón,36.0,81.0,306.0,statický výpočet,Miestna komunikácia,1990,Nezistený,1,6.76,7.46,7,7,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,4424A05516,4424A05515,7572,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3,3
M6994,cesta I. triedy,2,Nezistený,47,48.12925187,17.130055519,137.369873046875,trámová,prefabrikovaný železobetón,28.0,57.0,57.0,porovnávací výpočet,"Miestna komunikácia,  Miestna komunikácia",1985,Nezistený,1,5.61,Nezistený,12,10.2,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,4424A00505,4424A02801,9443,Bratislava,5,5,5,5,5,5,5,5,5,5,5,5,5
M7229,cesta I. triedy,2,"Most na Dolnozemskej ceste nad Bosákovou ulicou, Petržalka, BA",2-048,48.127563995,17.129935117,184.274749,trámová,prefabrikovaný predpätý betón,32.0,129.0,266.0,porovnávací výpočet,Miestna komunikácia,1983,Nezistený,4,108.95,Nezistený,11.5,10.5,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,4424A02801,4424A02802,7598,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3,5
M5333,cesta I. triedy,2,Nezistený,49,48.125990691,17.131040629,139.626571655273,rámová,monolitický železobetón,41.0,82.0,336.0,podľa tabuliek,"Miestna komunikácia,  Miestna komunikácia",1985,Nezistený,1,5.61,Nezistený,10.2,10.2,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,4424A02802,4424A52301,7589,Bratislava,6,6,6,6,6,6,6,6,6,6,6,6,6
M1841,cesta I. triedy,2,Nezistený,50,48.112056877,17.128560492,186.91375,trámová,prefabrikovaný predpätý betón,30.0,120.0,249.0,statický výpočet,Miestna komunikácia,1985,Nezistený,4,107.96,Nezistený,11.5,10.5,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,4424A02401,4424A02402,7226,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3,4
M7651,cesta I. triedy,2,Nezistený,51,48.109148631,17.126073674,180.87175,trámová,prefabrikovaný železobetón,53.0,89.0,428.0,Nezistený,Miestna komunikácia,1985,Nezistený,1,4.38,Nezistený,21.5,21.5,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,4424A02405,4424A45500,433880,Bratislava,3,3,3,3,3,3,3,3,3,3,3,3,3
