Trieda CK,Číslo CK,Evidenčné číslo mosta,ID mosta,Názov mosta,Investor,Rok postavenia,Zhotovitel,Zaťažovacia trieda STN,Počet otvorov,Dĺžka premostenia,Dĺžka nosnej konštrukcie,Voľná šírka mosta,Šírka medzi obrubami,Plocha nosnej konštrukcie,Plocha mosta,Stavebno-technický stav,Usek,Poc. Uzol,Konc. Uzol,Usekove stanicenie zac. objektu,Kumul. stanicenie zaciatku objektu,LongitudeE,LatitudeN,VyskaH,Dlzka DC,Druh konštrukcie,Materiál konštrukcie,Zaťažiteľnosť normálna,Zaťažiteľnost výhradná,Zaťažiteľnosť výnimočná,Spôsob stanovenia,Predmet premostenia,Smer useku,Typ useku,Ev. dlzka useku,Vlastník CK,Typ správcu CK,Správca CK,KRAJ,OKRES,Pokračovanie,Poradie
cesta III. triedy,527013,2,M3150,527013-002 Most cez járok Horský medzi obcami Veľké Straciny a Malé Zlievce,,1942.0,,,1.0,2.2,,7.9,7.9,,,Uspokojivý,374231.0,4621A19400,4621A19500,1706,5128.0,19.416460985,48.191507184,184.637499,2.2,dosková,monolitický železobetón,16.0,57.0,362.0,odhadom,Vodný tok,0.0,medzikrižovatkový,3931.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,3.0
cesta III. triedy,527013,4,M405,527013-004 Most cez potok Stracinský medzi obcami Veľké Straciny a Malé Zlievce,,1942.0,,,1.0,4.6,,6.1,,,,Dobrý,374231.0,4621A19400,4621A19500,2220,5642.0,19.423055105,48.190142526,179.142,4.6,dosková,monolitický železobetón,13.0,25.0,164.0,odhadom,Vodný tok,0.0,medzikrižovatkový,3931.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,3.0
cesta III. triedy,527013,5,M2811,527013-005 Most cez kanál v obci Malé Zlievce,,1949.0,,,1.0,3.2,,12.7,12.1,,,Dobrý,374232.0,4621A19500,4621A03200,203,7556.0,19.44209418,48.180645176,177.426,3.2,dosková,monolitický železobetón,16.0,51.0,356.0,odhadom,Kanál,0.0,medzikrižovatkový,227.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,4.0
cesta III. triedy,527013,005A,M2938,527013-005a Most cez potok Čemer pred obcou Bušince,,1980.0,,,1.0,10.9,,14.01,13.5,,,Dobrý,3824.0,4621A03402,4621A03403,60,10404.0,19.478792229,48.17686234,166.879,10.9,dosková,prefabrikovaný predpätý betón,48.0,86.0,389.0,odhadom,Vodný tok,0.0,lúč,73.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,11.0
cesta III. triedy,527013,7,M3876,527013-007 Most cez potok Viničný v obci Bušince,,1930.0,,,1.0,2.55,,9.4,9.1,,,Uspokojivý,374222.0,4621A18500,4621A18600,10,11636.0,19.495140564,48.175131767,163.863249,2.55,dosková,monolitický železobetón,20.0,75.0,420.0,odhadom,Vodný tok,0.0,medzikrižovatkový,113.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,13.0
cesta III. triedy,527014,1,M6651,527014-001 Most cez járok v meste Modrý Kameň,,1977.0,,,1.0,3.9,,9.3,5.6,,,Dobrý,374202.0,4621A16500,4621A16600,108,121.0,19.335751682,48.241038534,261.607499,3.9,dosková,monolitický železobetón,54.0,60.0,100.0,odhadom,Vodný tok,0.0,medzikrižovatkový,496.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,1.0
cesta III. triedy,527014,2,M3864,527014-002 most cez potok Katovka za Modrým Kameňom,,1924.0,,,1.0,5.6,,5.9,,,,Zlý,374205.0,4621A16800,4621A03300,34,1554.0,19.352082666,48.235658059,344.267999,5.6,dosková,monolitický železobetón,13.0,26.0,132.0,odhadom,Vodný tok,0.0,medzikrižovatkový,2200.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,4.0
cesta III. triedy,527014,3,M4026,527014-003 Most cez potok Hlinený pred obcou Dolné Strháre,,1949.0,,,1.0,8.9,,7.2,,,,Uspokojivý,3814.0,4621A03300,4621A04200,1289,5009.0,19.3882781,48.245711359,216.191999,8.9,dosková,monolitický železobetón,26.0,52.0,243.0,odhadom,Vodný tok,0.0,medzikrižovatkový,1438.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,5.0
cesta III. triedy,527014,5,M7665,527014-005 Most cez potok Koprovnica medzi obcami Dolné Strháre a Suché Brezovo (pri  Koprovnici),,1948.0,,,1.0,8.6,,6.2,5.55,,,Uspokojivý,374303.0,4621A21600,4621A21700,190,8530.0,19.389939358,48.272715983,224.445749,8.6,dosková,monolitický železobetón,17.0,28.0,135.0,odhadom,Vodný tok,0.0,medzikrižovatkový,224.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,12.0
cesta III. triedy,527014,6,M7005,527014-006 Most cez potok Koprovnica medzi obcami Dolné Strháre a Suché Brezovo,,1951.0,,,1.0,4.0,,7.2,,,,Dobrý,374304.0,4621A21700,4621A21800,1145,9709.0,19.389071552,48.282783954,245.857499,4.0,klenbová,monolitický prostý betón,50.0,130.0,420.0,odhadom,Vodný tok,0.0,medzikrižovatkový,1206.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,13.0
