Bridge_ID,District,Latitude,Longitude,Material,Bridge_Name,Bridge_Length,Year_of_Construction,Bridge_Width,Load_Capacity,Road_Class,Type_of_Structure,Bridge_Purpose,Administrator,Road_Number,Region,num_2012,num_2013,num_2014,num_2015,num_2016,num_2017,num_2018,num_2019,num_2020,num_2021,num_2022,num_2023
M2405,Nové Zámky,48.138262122,18.004407179,monolitický železobetón,75_009 Most cez zátopové územie pred obcou Jatov,4.0,1942.0,11.13,15.0,cesta I. triedy,trámová,Záplavové územie,SSC - IVSC BA,75,Nitra,3,3,3,3,3,3,5,5,5,5,5,5
M1992,Nové Zámky,48.135361067,18.018705046,monolitický železobetón,75_010 Most cez odvodňovací kanál pri obci Jatov,9.0,1942.0,11.25,4.0,cesta I. triedy,dosková,Kanál,SSC - IVSC BA,75,Nitra,3,3,3,3,5,5,5,5,6,6,6,6
M2139,Nové Zámky,48.099420537,18.061362535,prefabrikovaný železobetón,75_011 Most cez Tvrdošovský potok v obci Tvrdošovce,8.26,1991.0,17.39,36.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BA,75,Nitra,3,3,3,3,3,3,4,4,4,4,4,4
M1153,Nové Zámky,48.08047284,18.077163546,tehla,75_012 Most cez Dalinský potok za obcou Tvrdošovce,2.4,1967.0,8.8,11.0,cesta I. triedy,klenbová,Vodný tok,SSC - IVSC BA,75,Nitra,3,3,3,3,3,3,3,3,3,3,3,3
M7160,Nové Zámky,47.996553554,18.184486972,prefabrikovaný predpätý betón,75_015 Most cez mlynský náhon v k.ú. mesta Nové Zámky,17.6,1975.0,12.5,20.0,cesta I. triedy,dosková,Kanál,SSC - IVSC BA,75,Nitra,4,4,4,4,4,4,4,4,4,4,4,4
M7430,Nové Zámky,47.996218357,18.185473815,monolitický predpätý betón,75_016 Most cez rieku Nitra v Nových Zámkoch,62.0,1975.0,11.0,28.0,cesta I. triedy,rámová,Vodný tok,SSC - IVSC BA,75,Nitra,5,5,5,5,5,5,5,5,5,5,3,3
M5125,Nové Zámky,47.995584411,18.187287894,prefabrikovaný železobetón,"75_016A Inundačný most, k.ú. Nové Zámky",3.1,1975.0,9.5,29.0,cesta I. triedy,dosková,Záplavové územie,SSC - IVSC BA,75,Nitra,3,3,3,3,3,3,6,6,6,6,6,6
M2860,Nové Zámky,47.996942543,18.244562333,prefabrikovaný predpätý betón,75_019 Most cez rieku Žitava pred obcou Dvory nad Žitavou,17.7,1972.0,11.0,26.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,75,Nitra,3,3,4,4,4,4,4,4,4,4,5,5
M6898,Nové Zámky,48.000788502,18.357979807,oceľ -  plnostenná,75_021 Most cez odvodňovací kanál pred obcou Kolta,3.4,1929.0,7.0,10.0,cesta I. triedy,trámová,Kanál,SSC - IVSC BA,75,Nitra,3,3,3,3,3,3,4,4,4,4,4,4
M6782,Nové Zámky,48.017134539,18.413369559,monolitický železobetón,75_023 Most cez potok v obci Kolta,3.3,1950.0,7.6,13.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,75,Nitra,3,3,3,3,3,3,5,5,5,5,5,5
M3421,Nové Zámky,48.031744765,18.422638899,prefabrikovaný železobetón,75_025 Most cez odpadový kanál pri majeri Stará Dedina,3.9,1969.0,7.6,16.0,cesta I. triedy,dosková,Kanál,SSC - IVSC BA,75,Nitra,2,2,2,2,2,2,3,3,3,3,3,3
M6613,Levice,48.03267208,18.452287487,monolitický železobetón,75_026 Most cez jarok pred obcou Čaka,5.0,1956.0,8.8,21.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,75,Nitra,4,4,4,4,4,4,4,5,5,5,5,5
M2002,Levice,48.038053158,18.466871841,monolitický železobetón,"75_027 Most cez Bardoňovský potok, k.ú. Čaka",4.7,1964.0,9.5,27.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,75,Nitra,3,3,3,3,3,3,3,4,4,4,4,4
M7606,Levice,48.078314522,18.530056898,monolitický železobetón,"75_028 Most cez potok Malianka, k.ú. Tekovské Lužany",3.0,1957.0,9.5,26.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,75,Nitra,3,3,3,3,3,3,3,5,5,5,5,5
