ID mosta,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Okres,Longitude,Latitude,Material,Názov mosta,Dĺžka premostenia,Rok postavenia,Volná šírka mosta,Normána zaťažiteľnost,Trieda PK,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023
M5142,Dobrý,Dobrý,Dobrý,Veľmi dobrý,Veľmi dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Malacky,17.042254668,48.427998028,monolitický predpätý betón,II_503 - 021A Most nad D2 Malacky,59.9,1973,13.0,24.0,cesta II. triedy,Bratislava,3,3,3,2,2,4,4,4,4,4,4,4
M5538,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Veľmi zlý,Veľmi zlý,Bezchybný,Bezchybný,Bezchybný,Malacky,17.038617046,48.428797168,prefabrikovaný predpätý betón,II_503 - 022 Most cez potok Malina - Malacky,31.81,1973,13.7,32.0,cesta II. triedy,Bratislava,4,4,4,4,4,5,5,6,6,1,1,1
M3065,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Dobrý,Dobrý,Dobrý,Dobrý,Malacky,17.028727429,48.434327225,prefabrikovaný železobetón,II_503 - 022A Most nad miestnou komunikáciou - Malacky,26.18,1975,11.5,28.0,cesta II. triedy,Bratislava,4,4,4,4,4,4,4,4,3,3,3,3
M2907,Dobrý,Dobrý,Dobrý,Zlý,Bezchybný,Bezchybný,Bezchybný,Bezchybný,Bezchybný,Dobrý,Dobrý,Dobrý,Malacky,17.023039112,48.438039049,prefabrikovaný predpätý betón,II_503 - 022B Most nad ŽSR - Estakáda Malacky,269.72,1975,11.5,11.0,cesta II. triedy,Bratislava,3,3,3,5,1,1,1,1,1,3,3,3
M4535,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Malacky,17.005250498,48.443487947,monolitický železobetón,II_503 - 024 Most cez potok Malina - Malacky,4.45,1935,7.56,11.0,cesta II. triedy,Bratislava,2,2,2,4,4,4,4,4,6,6,6,6
M6836,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Malacky,16.979359019,48.443359835,monolitický železobetón,II_503 - 025 Most cez kanál v Kostolišti,6.3,1958,17.1,15.0,cesta II. triedy,Bratislava,3,3,3,3,4,4,4,4,4,4,4,4
M5229,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Malacky,16.918347198,48.412608526,prefabrikovaný železobetón,II_503 - 026 Most cez kanál Jakubov,3.7,1961,9.5,36.0,cesta II. triedy,Bratislava,2,2,2,2,4,4,4,4,4,4,4,4
M7277,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Malacky,16.917726142,48.411510204,prefabrikovaný železobetón,II_503 - 027 Most cez potok Malina - Jakubov,21.1,1962,9.6,24.0,cesta II. triedy,Bratislava,4,4,4,4,4,4,4,4,6,6,6,6
M997,Uspokojivý,Zlý,Zlý,Uspokojivý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Malacky,16.912238919,48.402281315,prefabrikovaný železobetón,II_503 - 028 Most cez potok Malina za odbočkou na Láb,22.9,1964,7.66,32.0,cesta II. triedy,Bratislava,4,5,5,4,5,5,5,5,5,5,5,5
M2273,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Dobrý,Dobrý,Dobrý,Dobrý,Zlý,Zlý,Zlý,Zlý,Malacky,16.903563005,48.400637827,prefabrikovaný predpätý betón,II_503 - 029 Most cez Zohorský kanál,12.0,1964,7.5,20.0,cesta II. triedy,Bratislava,4,4,4,4,3,3,3,3,5,5,5,5
M7443,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Zlý,Pezinok,17.357332908,48.34423151,prefabrikovaný železobetón,II_504 - 001 Most cez Vištucký potok,7.1,1964,7.5,37.0,cesta II. triedy,Bratislava,3,3,3,3,4,4,4,4,4,5,5,5
M4466,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Pezinok,17.363327593,48.344516007,prefabrikovaný železobetón,II_504 - 002 Most cez Dubovský potok,6.75,1964,7.5,31.0,cesta II. triedy,Bratislava,3,3,3,3,4,4,4,4,4,4,4,4
M6508,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Pezinok,17.384172489,48.347709018,monolitický železobetón,II_504 - 003 Most cez potok pred Budmericami,4.0,1935,7.2,10.0,cesta II. triedy,Bratislava,3,3,3,3,4,4,4,4,4,4,4,4
M6631,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Zlý,Zlý,Zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Pezinok,17.413182998,48.35407937,prefabrikovaný predpätý betón,II_504 - 004 Most cez potok Gidra - Budmerice,12.0,1970,11.0,20.0,cesta II. triedy,Bratislava,4,4,4,4,5,5,5,5,5,6,6,6
M6454,Dobrý,Dobrý,Dobrý,Dobrý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Pezinok,17.438378947,48.358920766,tehla,II_504 - 005 Most cez potok za Budmericami,3.8,1949,8.15,11.0,cesta II. triedy,Bratislava,3,3,3,3,5,5,5,5,5,5,5,5
M2512,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Uspokojivý,Uspokojivý,Zlý,Zlý,Trnava,17.474450318,48.369895137,tehla,"501_006 Most cez jarok, Ružindol",4.9,1870,7.2,50.0,cesta II. triedy,Trnava,5,5,5,5,5,5,5,5,4,4,5,5
M509,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Trnava,17.529580132,48.376393855,monolitický železobetón,Most cez potok Parná v k. ú. Trnava - Biely Kostol,10.9,1935,7.4,25.0,cesta II. triedy,Trnava,4,4,4,5,4,4,4,4,4,4,4,4
M4701,Zlý,Zlý,Zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi dobrý,Veľmi dobrý,Trnava,17.610166791,48.404691906,monolitický železobetón,Most cez bezmenný potok v Trnave,2.5,1920,4.2,20.0,cesta II. triedy,Trnava,5,5,5,6,6,6,6,6,6,6,2,2
M3800,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Veľmi zlý,Trnava,17.671071409,48.449582472,prefabrikovaný železobetón,504_012 Most cez potok Blava v obci Malženice,8.3,1961,12.4,55.0,cesta II. triedy,Trnava,3,3,3,3,4,4,4,4,4,4,4,6
M3669,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Zlý,Zlý,Zlý,Zlý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Hlohovec,17.703356003,48.469007153,monolitický železobetón,504_14 Most cez odpadový kanál z atomky pred obcou Malženice,5.0,1960,7.0,50.0,cesta II. triedy,Trnava,2,2,2,2,5,5,5,5,4,4,4,4
M4316,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Piešťany,17.719957494,48.49349385,monolitický železobetón,"504_016 Most cez inundačné územie, Veľké Kostoľany",3.2,1928,9.0,50.0,cesta II. triedy,Trnava,3,3,3,3,4,4,4,4,4,4,4,4
M6271,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Piešťany,17.722369222,48.510473428,monolitický železobetón,Most cez Lapašovskýpotok vo Veľkých Kostolanoch,10.2,1933,8.75,40.0,cesta II. triedy,Trnava,4,4,4,4,4,4,4,4,4,4,4,4
M6466,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Bezchybný,Bezchybný,Piešťany,17.73193167,48.530857724,tehla,Most - inundačné územie za obcou Dubovany,3.2,1870,8.4,20.0,cesta II. triedy,Trnava,6,6,6,6,6,6,6,6,6,6,1,1
M3349,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Piešťany,17.73269886,48.536128983,monolitický železobetón,"504_019 Most cez potok Lančár, Veselé",4.45,1959,10.0,35.0,cesta II. triedy,Trnava,3,3,3,3,4,4,4,4,4,4,4,4
M7769,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Bezchybný,Piešťany,17.736,48.55515,monolitický železobetón,"504_020 Most cez bezmenný potok, Veselé",4.0,1924,9.1,32.0,cesta II. triedy,Trnava,4,4,4,4,5,5,5,5,5,5,5,1
M419,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Piešťany,17.746908697,48.58860475,kameň,Most - inundučné územie - Borovce,2.8,1870,7.1,12.0,cesta II. triedy,Trnava,6,6,6,6,6,6,6,6,6,6,6,6
M6575,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Piešťany,17.748519018,48.611775125,monolitický železobetón,504_024 Most cez potok Holeška v obci Krakovany,8.05,1930,8.55,30.0,cesta II. triedy,Trnava,3,3,3,3,4,4,4,4,4,4,4,4
M3256,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Nové Mesto nad Váhom,17.763124135,48.664514387,monolitický železobetón,Most cez potok pred obcou Podolie,2.7,1935,7.9,7.0,cesta II. triedy,Trenčín,3,3,3,3,4,4,4,4,4,4,4,4
M4068,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Nové Mesto nad Váhom,17.773746332,48.678970278,monolitický železobetón,Most cez potok v obci Podolie,4.1,1958,10.5,10.0,cesta II. triedy,Trenčín,4,4,4,4,4,4,4,4,4,4,4,4
M3333,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Nové Mesto nad Váhom,17.786747936,48.703677327,prefabrikovaný železobetón,Most cez Podhájsky potok v obci Čachtice,2.3,1979,11.4,50.0,cesta II. triedy,Trenčín,3,3,3,3,3,3,3,3,3,3,3,3
M7053,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Dobrý,Dobrý,Dobrý,Nové Mesto nad Váhom,17.788612176,48.716989924,monolitický železobetón,Most cez potok Dudváh v obci Čachtice,16.1,1957,11.0,32.0,cesta II. triedy,Trenčín,4,4,4,4,4,4,4,4,4,3,3,3
M3005,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Zlý,Nové Mesto nad Váhom,17.793708257,48.719458573,monolitický železobetón,Most nad železnicou v obci Čachtice,21.8,1928,7.5,6.0,cesta II. triedy,Trenčín,4,4,4,4,4,4,4,4,4,5,5,5
M5913,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Bratislava IV,17.006551733,48.220425957,oceľ -  priehradová,"Most cez potok Mláka na ceste k VW, Devínska Nová Ves",10.6,1977,11.5,30.0,cesta II. triedy,Bratislava,3,3,3,3,3,3,3,3,3,3,4,4
M7029,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Uspokojivý,Uspokojivý,Bratislava IV,16.997336626,48.247369446,monolitický železobetón,"Most cez potok Mláka v osade Poľný Mlyn, Devínska Nová Ves BA",4.0,1945,7.6,17.0,cesta II. triedy,Bratislava,5,5,5,5,5,5,5,5,5,5,4,4
M5287,Uspokojivý,Uspokojivý,Uspokojivý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Zlý,Malacky,17.010711839,48.256623184,monolitický predpätý betón,II_505 - 006 Most nad diaľnicou D2 - Stupava,55.09,1973,13.0,24.0,cesta II. triedy,Bratislava,4,4,4,3,4,4,4,4,4,5,5,5
M5437,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Dunajská Streda,17.417416939,47.9780467,monolitický železobetón,"506-001 most cez zavlažovací kanál Vojka-Kračany pred obcou Štrkovec v km 4,343",5.6,1963,9.5,20.0,cesta II. triedy,Trnava,3,3,3,3,3,3,3,3,3,3,4,4
M2629,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Havarijný,Havarijný,Dunajská Streda,17.48778,47.92819,prefabrikovaný predpätý betón,"506-002 Most cez kanál v k.ú. obce Trstená na Ostrove v km 12,250",16.45,1962,7.6,14.0,cesta II. triedy,Trnava,4,4,4,4,4,4,4,4,4,4,7,7
M2744,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Dobrý,Dunajská Streda,17.552286491,47.90469625,monolitický železobetón,"506-003 most cez kanál Gabčíkovo-Topoľníky za obcou Baka v km 17,997",7.0,1963,10.7,16.0,cesta II. triedy,Trnava,4,4,4,4,4,4,4,4,4,4,4,3
M6326,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Dunajská Streda,17.576584805,47.89324943,prefabrikovaný železobetón,"506-005 most cez Čilizský potok v obci Gabčíkovo v km 20,296",9.0,1961,11.28,38.0,cesta II. triedy,Trnava,3,3,3,3,3,3,3,3,4,4,4,4
M5297,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Dunajská Streda,17.587784095,47.879679094,prefabrikovaný železobetón,"506-006 most cez odvodňovací kanál Gabčíkovo-Ňárad v km 22,053",23.8,1969,9.0,24.0,cesta II. triedy,Trnava,5,5,5,5,5,5,5,5,5,5,5,5
M6166,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Dunajská Streda,17.588618223,47.878644557,monolitický železobetón,"506-007 most cez kanál Gabčíkovo-Ňárad za obcou Gabčíkovo v km 22,192",6.5,1947,7.5,25.0,cesta II. triedy,Trnava,3,3,3,3,3,3,3,3,3,3,4,4
M3293,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Veľmi zlý,Dunajská Streda,17.596130864,47.863828069,prefabrikovaný železobetón,"506-008 most  za obcou Gabčíkovo v km 23,931",7.0,1962,9.5,34.0,cesta II. triedy,Trnava,4,4,4,4,4,4,4,4,4,4,4,6
M2853,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Veľmi dobrý,Dunajská Streda,17.606840714,47.839733524,prefabrikovaný železobetón,"506-009 most na začiatku obci Ňárad cez Chotárny kanál v km 26,902",6.0,1958,9.3,34.0,cesta II. triedy,Trnava,3,3,3,3,3,3,3,3,3,3,3,2
M7445,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Dunajská Streda,17.580322105,47.894283643,prefabrikovaný železobetón,"507-001 most cez Čilizský potok v obci Gabčíkovo v km 0,333",6.0,1959,11.3,22.0,cesta II. triedy,Trnava,4,4,4,4,4,4,4,4,4,4,5,5
M6584,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Dunajská Streda,17.599375079,47.916884989,prefabrikovaný železobetón,"507-002 most cez odvodňovací kanál za obcou Gabčíkovo v km 3,306",17.15,1970,9.5,19.0,cesta II. triedy,Trnava,4,4,4,4,4,4,4,4,4,4,4,4
M3916,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Veľmi zlý,Veľmi zlý,Dunajská Streda,17.601243681,47.920088424,monolitický železobetón,"507-003 most pred obcou Vrakúň cez zavlažovací kanál Jurová-Veľký Meder v km 3,689",2.05,1942,7.41,10.0,cesta II. triedy,Trnava,4,4,4,4,4,4,4,4,4,4,6,6
M6330,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Dunajská Streda,17.603968523,47.925231485,monolitický železobetón,"507-004 most cez kanál v k.ú. obci Vrakúň v km 4,296",2.5,1942,7.8,10.0,cesta II. triedy,Trnava,4,4,4,4,4,4,4,4,4,4,4,4
M1685,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Dunajská Streda,17.607403261,47.931725006,monolitický železobetón,"507-005 pred obcou Vrakúň v km 5,064",2.5,1942,7.7,10.0,cesta II. triedy,Trnava,4,4,4,4,4,4,4,4,4,4,5,5
M5704,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Veľmi zlý,Dunajská Streda,17.603931217,47.940189747,prefabrikovaný železobetón,"507-006 v obci Vrakúň v km 6,083",27.9,1963,11.5,12.0,cesta II. triedy,Trnava,5,5,5,5,5,5,5,5,5,5,5,6
M6919,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Veľmi zlý,Veľmi zlý,Dunajská Streda,17.604337848,47.959298824,prefabrikovaný železobetón,"507-007 medzi obcami Mliečany - Vrakúň v km 8,506",7.0,1959,9.5,22.0,cesta II. triedy,Trnava,4,4,4,4,4,4,4,4,4,4,6,6
M283,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Uspokojivý,Uspokojivý,Zlý,Zlý,Dunajská Streda,17.609488359,47.975763942,prefabrikovaný predpätý betón,"507-008A most nad cestou I/63 pred mestom Dunajská Streda v km 10,372",28.2,1989,15.75,35.0,cesta II. triedy,Trnava,2,2,2,2,2,2,2,2,4,4,5,5
M6245,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Dunajská Streda,17.614554817,47.988603318,prefabrikovaný predpätý betón,"507-008 B most nad železničnou traťou na ceste II/507 v Dunajskej Strede v km 12,166",159.26,1988,13.75,43.0,cesta II. triedy,Trnava,3,3,3,3,3,3,3,3,4,4,4,4
M6224,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Zlý,Zlý,Dunajská Streda,17.692676778,48.030810689,prefabrikovaný predpätý betón,"507-009 most cez Klátovský kanál (odvodňovací) v obci Dunajský Klátov v km 20,066",10.0,1966,11.0,20.0,cesta II. triedy,Trnava,4,4,4,4,4,4,4,4,5,5,5,5
M7235,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Dunajská Streda,17.695958038,48.033939412,prefabrikovaný predpätý betón,"507-010 most cez Klátovské rameno v obci Dunajský Klátov v km 20,498",17.2,1966,11.1,21.0,cesta II. triedy,Trnava,4,4,4,4,4,4,4,4,4,4,5,5
M5933,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Dunajská Streda,17.698681735,48.050856287,monolitický predpätý betón,"507-011 most cez Malý Dunaj v obci Jahodná v km 22,537",176.0,1992,10.5,32.0,cesta II. triedy,Trnava,2,2,2,2,2,2,4,4,4,4,4,4
M6296,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Galanta,17.693073641,48.088138854,monolitický železobetón,Most cez potok Čierna voda v obci Tomášikovo,43.6,1955,10.6,20.0,cesta II. triedy,Trnava,4,4,4,4,5,5,5,5,5,5,5,5
M4036,Dobrý,Dobrý,Dobrý,Dobrý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Galanta,17.671949022,48.150413168,monolitický železobetón,Most cez Dudváh v obci Čierny Brod,4.0,1900,6.0,50.0,cesta II. triedy,Trnava,3,3,3,3,5,5,5,5,5,5,5,5
M3646,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Galanta,17.726984458,48.221942384,prefabrikovaný železobetón,Most cez potok Derňa v obci Nebojsa,8.35,1968,13.6,55.0,cesta II. triedy,Trnava,2,2,2,2,4,4,4,4,4,4,4,4
M5154,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Zlý,Galanta,17.74497,48.25864,prefabrikovaný predpätý betón,Most nad cestou R1 v k. ú. Sereď,58.2,1990,19.0,32.0,cesta I. triedy,Trnava,2,2,2,2,2,2,4,4,4,5,5,5
M2332,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Galanta,17.74539,48.25945,prefabrikovaný predpätý betón,Most nad zrušenou vlečkou železnice,19.34,1990,13.53,35.0,cesta II. triedy,Trnava,3,3,3,3,3,3,3,3,3,4,4,4
M5846,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Hlohovec,17.796828383,48.354066986,prefabrikovaný železobetón,Nezistený,4.75,1970,9.5,55.0,cesta II. triedy,Trnava,3,3,3,3,3,3,3,3,4,4,4,4
M1904,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Zlý,Zlý,Uspokojivý,Uspokojivý,Uspokojivý,Veľmi dobrý,Hlohovec,17.812771986,48.466863345,prefabrikovaný železobetón,Most cez poľný jarok pred obcou Koplotovce,4.9,1969,8.1,55.0,cesta II. triedy,Trnava,3,3,3,3,3,3,5,5,4,4,4,2
M5690,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Hlohovec,17.80979664,48.486339995,monolitický železobetón,Nezistený,3.1,1926,7.6,50.0,cesta II. triedy,Trnava,3,3,3,3,4,4,4,4,4,4,4,4
M1395,Dobrý,Dobrý,Dobrý,Dobrý,Zlý,Zlý,Zlý,Zlý,Uspokojivý,Uspokojivý,Bezchybný,Bezchybný,Hlohovec,17.828050901,48.507958672,prefabrikovaný železobetón,Most cez Jarok v obci Jalšové,4.9,1969,10.0,55.0,cesta II. triedy,Trnava,3,3,3,3,5,5,5,5,4,4,1,1
M3091,Dobrý,Dobrý,Dobrý,Dobrý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Bezchybný,Bezchybný,Hlohovec,17.825612675,48.510239493,monolitický železobetón,Most cez potok v obci Jalšové,2.01,1926,5.8,50.0,cesta II. triedy,Trnava,3,3,3,3,5,5,5,5,5,5,1,1
M7487,Dobrý,Dobrý,Dobrý,Dobrý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Piešťany,17.842849168,48.54705703,prefabrikovaný železobetón,Most cez odpadový kanál pred obcou Ratnovce,4.1,1967,8.2,50.0,cesta II. triedy,Trnava,3,3,3,3,5,5,5,5,5,5,5,5
M6872,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Piešťany,17.851180442,48.58509893,monolitický železobetón,Most cez potok v obci Banka,4.7,1930,7.1,30.0,cesta II. triedy,Trnava,3,3,3,3,4,4,4,4,4,4,4,4
M7518,Dobrý,Dobrý,Dobrý,Dobrý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Piešťany,17.863231325,48.604911273,monolitický železobetón,Most cez potok Striebornica v obci Moravany nad Váhom,7.7,1959,9.2,50.0,cesta II. triedy,Trnava,3,3,3,3,5,5,5,5,5,5,5,5
M6700,Dobrý,Dobrý,Dobrý,Dobrý,Zlý,Zlý,Zlý,Zlý,Veľmi zlý,Veľmi zlý,Zlý,Zlý,Piešťany,17.868862677,48.617333395,prefabrikovaný železobetón,Most cez zátopové územie pred obcou Hubina,6.0,1977,9.9,60.0,cesta II. triedy,Trnava,3,3,3,3,5,5,5,5,6,6,5,5
