ID mosta,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Okres,Longitude,Latitude,Material,Názov mosta,Dĺžka premostenia,Rok postavenia,Volná šírka mosta,Normána zaťažiteľnost,Trieda PK,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023
M4785,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Detva,19.329600849,48.55971074,monolitický železobetón,2693-2_Most cez Dúbravský potok za križovatkov PPS Detva - spojka (050097-002),10.0,1958,6.0,18.0,cesta III. triedy,Banská Bystrica,4,4,4,4,4,4,4,4,4,4,4,4
M682,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Detva,19.336731995,48.586353753,prefabrikovaný železobetón,2693-3_Most cez Želobudský potok pred obcou Želobudza (050097-003),3.4,1971,6.6,32.0,cesta III. triedy,Banská Bystrica,4,4,4,4,4,4,4,4,4,4,5,5
M2015,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Detva,19.341668109,48.594245374,monolitický železobetón,2693-4_Most cez zátopové územie  za obcou Želobudza (050097-004),4.0,1953,5.7,20.0,cesta III. triedy,Banská Bystrica,4,4,4,4,4,4,4,4,4,4,4,4
M5821,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Detva,19.356672832,48.605550347,monolitický železobetón,2693-5_Most cez potok Kamenná pred obcou Iviny (050097-005),4.0,1953,5.5,20.0,cesta III. triedy,Banská Bystrica,3,3,3,3,4,4,4,4,4,4,4,4
M4242,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Zlý,Zlý,Veľmi zlý,Detva,19.40646,48.53518,prefabrikovaný predpätý betón,2694-2 Most cez  rieku Slatina pri železničnej stanici Detva (050098-002),17.88,1964,8.66,8.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,5,5,6
M2216,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi zlý,Sobrance,22.262757413,48.662666495,monolitický železobetón,Most v obci Vyšné Nemecké,4.8,1932,11.2,26.0,cesta III. triedy,Košice,2,2,2,2,2,2,2,2,2,2,2,6
M570,Veľmi dobrý,Veľmi dobrý,Nezistený,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Detva,19.48075,48.51204,prefabrikovaný železobetón,2695-1_Most cez Krivánsky potok pri obci Podkriváň (050100-001),4.46,1955,15.2,50.0,cesta III. triedy,Banská Bystrica,2,2,3,3,3,3,3,3,3,3,3,3
M7683,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Detva,19.475460368,48.513133192,monolitický železobetón,2695-2_Most cez Krivánsky potok v obci Podkriváň (050100-002),3.92,1949,6.6,33.0,cesta III. triedy,Banská Bystrica,3,3,4,4,4,4,4,4,4,4,4,4
M3825,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Detva,19.47205,48.51405,prefabrikovaný železobetón,2695-3_Most cez Krivánsky potok v obci Podkriváň (050100-003),8.5,1970,9.55,35.0,cesta III. triedy,Banská Bystrica,3,3,4,4,4,4,4,4,4,4,4,4
M6299,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Detva,19.46797,48.51584,prefabrikovaný železobetón,2695-5_Most cez Krivánsky  potok  v obci Podkriváň (050100-005 ),8.0,1973,9.7,36.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,4
M1600,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Detva,19.46432,48.51575,prefabrikovaný železobetón,2695-7_Most cez Krivánsky potok  v obci Podkriváň (050100-007),5.9,1974,10.8,35.0,cesta III. triedy,Banská Bystrica,3,3,4,4,4,4,5,5,5,5,5,5
M2068,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Detva,19.462991091,48.515747633,monolitický železobetón,2695-8 Most cez mezmenný potok v obci Podkriváň (050100-008),4.6,1945,5.75,3.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,4,4,4,4,4,4
M602,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Lučenec,19.50047,48.51905,prefabrikovaný predpätý betón,2630-1_Most cez Bzovský potok v obci Dolná Bzová ( 050101-001),15.05,1970,9.1,48.0,cesta III. triedy,Banská Bystrica,2,2,2,2,3,3,3,3,3,3,3,3
M5347,Dobrý,Dobrý,Zlý,Zlý,Zlý,Zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Lučenec,19.50758,48.48272,monolitický železobetón,2631-2_Most cez Pílanský potok v obci Píla,4.3,1940,19.0,10.0,cesta III. triedy,Banská Bystrica,3,3,5,5,5,5,6,6,6,6,6,6
M2036,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Lučenec,19.53514,48.44947,prefabrikovaný železobetón,2632-2_Most cez Budínsky potok v obci Divín (050103-002),6.4,1983,11.75,33.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,3
M3165,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Lučenec,19.533945324,48.449498376,monolitický železobetón,2632-3_Most cez potok Tomanovský v obci Divín (050103-003),4.25,1955,9.55,25.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,4
M5917,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Lučenec,19.52842,48.44737,prefabrikovaný železobetón,2632-4_Most cez potok Tomanovský  v obci Divín ( 050103-004),2.3,1989,10.5,50.0,cesta III. triedy,Banská Bystrica,2,2,2,3,3,3,3,3,3,3,3,3
M3595,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Lučenec,19.52068,48.44384,prefabrikovaný železobetón,2632-5_Most cez potok Tomanovský pri obci Divín (050103-005),3.5,1981,7.58,34.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,3
M3533,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Lučenec,19.50255,48.42975,prefabrikovaný predpätý betón,2632-6_Most cez Tuhársky potom v obci Tuhár (050103-006),4.5,1955,8.85,36.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,4
M167,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Lučenec,19.494095783,48.427437009,monolitický železobetón,2632-7_Most cez  potok Rakovec za obcou Tuhár,2.05,1956,7.25,48.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,3
M646,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Lučenec,19.44414,48.41526,prefabrikovaný predpätý betón,2632-9_Most cez potok Ľuboreč pri obci Ábelová (050103-009),4.96,1956,8.8,22.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,4
M436,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Lučenec,19.41976547,48.383654181,prefabrikovaný predpätý betón,050103-010_Most cez potok Madačský,9.2,1960,7.65,35.0,cesta III. triedy,Banská Bystrica,2,2,2,2,3,3,3,3,3,3,3,3
M5682,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Lučenec,19.418145281,48.380755405,oceľ -  plnostenná,050103-011_Most cez Madačský potok pri obci Nedelište,8.93,1957,7.14,24.0,cesta III. triedy,Banská Bystrica,4,4,4,4,4,4,4,4,4,4,4,4
M2456,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Veľký Krtíš,19.415032974,48.367887621,oceľobetón,050103-012 Most cez potok Madačka pred obcou Šuľa,10.64,1955,5.2,22.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,4,4
M456,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Veľký Krtíš,19.40989,48.35665,prefabrikovaný predpätý betón,2632-13 Most cez potok Madačský v obci Šuľa (050103-013),15.0,1958,7.9,30.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,3
M1427,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Veľký Krtíš,19.406837408,48.355197222,oceľobetón,050103-014 Most cez potok Tisovník v obci Šuľa,11.76,1943,7.1,22.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,4,4
M7726,Dobrý,Dobrý,Dobrý,Dobrý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Lučenec,19.538226259,48.448440834,prefabrikovaný železobetón,050104-001_Most cez Budínsky potok v obci Divín,6.3,1979,8.5,37.0,cesta III. triedy,Banská Bystrica,3,3,3,3,5,5,5,5,5,5,5,5
