ID_mosta,Trieda_PK,Číslo_PK,Názov_mosta,správcovské_číslo,Zemepisná_šírka,Zemepisná_dĺžka,Výška,Druh_konštrukcie,Material,Normálna_zaťažiteľnosť,Výhradná_zaťažiteľnosť_t,Výnimočná_zaťažiteľnosť_t,Spôsob_stanovenia,Predmet_premostenia,Rok_postavenia,Zaťažovacia_trieda_STN,Počet_otvorov,Dĺžka_premostenia,Dĺžka_nosnej_konštrukcie_m,Volná_šírka_mosta,Šírka_medzi_obrubami_m,Plocha_mosnej_konštrukcie_m2,Plocha_mosta_m2,Vlastník_úseku,Správca_úseku,Okres,Počiatočný_uzol,Koncový_uzol,úsek_ID,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024
M3716,cesta I. triedy,51,51-194_Most ponad R2 pri Hronskej Breznici,194,48.564042177,19.009841956,275.660999,trámová,prefabrikovaný predpätý betón,26.0,48.0,180.0,porovnávací výpočet,Cestná komunikácia,1990,Nezistený,3.0,57.6,,11.6,9.5,,,STAT,SSC - IVSC BB,Zvolen,3632A02905,3632A02906,2978,Banská Bystrica,2,2,2,2,2,2,2,2,2,2,2,5,5
M7803,cesta I. triedy,66,66_073 Most cez železničnú trať v meste Banská Bystrica,73,48.741702756,19.180363657,365.62225,trámová,monolitický železobetón,25.0,67.0,168.0,odhadom,Železnica,1963,Nezistený,3.0,41.4,,16.0,11.0,,,STAT,SSC - IVSC BB,Banská Bystrica,3614A00306,3614A27800,286131,Banská Bystrica,2,2,0,0,2,2,2,2,2,2,2,5,5
M6044,cesta I. triedy,16,50_244 Most nad železničnou traťou v meste Rimavská Sobota,244,48.392206486,20.014055848,226.841499,dosková,prefabrikovaný predpätý betón,26.0,78.0,300.0,podľa tabuliek,Železnica,1971,Nezistený,3.0,39.2,,13.5,10.5,,,STAT,SSC - IVSC BB,Rimavská Sobota,3733A35900,3733A36000,1032696,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,5,5
M1294,cesta I. triedy,16,"50_261 Most cez podzemné ropovodné potrubie, k.ú. Gemer",261,48.451468884,20.345735272,196.9985,trámová,prefabrikovaný predpätý betón,35.0,101.0,460.0,projektovaná,Iná prekážka,1986,Nezistený,1.0,26.8,,11.5,11.5,,,STAT,SSC - IVSC BB,Revúca,3734A00302,3734A00305,20615,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,5,5,5
M4860,cesta I. triedy,16,"50_260 Most nad železničnou traťou, k.ú. Gemer",260,48.449459672,20.342927212,198.869,trámová,prefabrikovaný predpätý betón,35.0,101.0,460.0,projektovaná,Železnica,1986,Nezistený,1.0,24.9,,11.5,11.5,,,STAT,SSC - IVSC BB,Revúca,3734A01101,3734A00304,4592,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,5,5,5
M9576,cesta I. triedy,59,59-011B_Most nad potokom Bystrica,011B,48.7542,19.1406,360.32,dosková,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,2008,A,1.0,21.697,26.464,10.12,11.68,375.11,290.74,STAT,SSC - IVSC BB,Banská Bystrica,3614A05909,3614A05908,66086,Banská Bystrica,0,0,0,0,0,0,0,0,0,0,0,5,5
M3010,cesta II. triedy,527a,000527A-011a Most cez potok Kurekovský v obci Slovenské Ďarmoty,011A,48.089862198,19.295649384,142.042249,dosková,monolitický železobetón,11.0,24.0,87.0,odhadom,Vodný tok,1940,Nezistený,2.0,21.0,,9.05,6.05,,,STAT,SSC - IVSC BB,Veľký Krtíš,4614A00600,4614A02100,396014,Banská Bystrica,4,4,4,4,4,4,4,4,5,5,5,5,5
M7015,cesta I. triedy,54,54_107 Most cez potok Klanečnica v k.ú. obce Moravské Lieskové,107,48.823130352,17.783254979,255.1515,dosková,monolitický železobetón,22.0,69.0,170.0,porovnávací výpočet,Vodný tok,1953,Nezistený,2.0,20.7,,11.35,10.05,,,STAT,SSC - IVSC ZA,Nové Mesto nad Váhom,3514A40300,3514A40400,288964,Trenčín,4,5,5,5,5,5,5,5,5,5,5,5,5
M5477,cesta I. triedy,62,62_005 Most cez Stoličný potok pred obcou sládkovičovo,5,48.194372797,17.606712814,121.74525,trámová,prefabrikovaný predpätý betón,32.0,80.0,196.0,statický výpočet,Vodný tok,1967,Nezistený,1.0,19.0,,12.2,11.9,,,STAT,SSC - IVSC BA,Galanta,4511A02802,4511A02910,601,Trnava,4,4,4,4,2,2,2,2,2,2,2,2,5
M1642,cesta I. triedy,72,72_006 Most cez rieku Rimavica pri Rimavskej Bani,6,48.505809137,19.937859766,254.9005,dosková,prefabrikovaný predpätý betón,26.0,78.0,235.0,podľa tabuliek,Vodný tok,1979,Nezistený,1.0,18.0,,14.65,10.5,,,STAT,SSC - IVSC BB,Rimavská Sobota,3644A23500,3642A00800,393010,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,5,5
