Time,P_4_pv0,P_4_pv1,P_4_pv3,P_8_pv0,P_8_pv1,P_8_pv3,P_26_pv0,P_26_pv1,P_26_pv3,P_2_pv0,P_2_pv1,P_2_pv3
2025-03-05 03:00:00+00:00,2927.80615225,284.219215375,-4.22813868525,2150.38452125,209.27875897500002,-1.7865168455,3104.48498525,301.3299637,-4.35930621625,3050.9487915,297.10339355,-1.21152904625
2025-03-05 04:00:00+00:00,2964.3229166666665,287.676239,-4.521739006,2187.1931153333335,212.7982432,-2.0716495513333335,3146.2378743333334,305.31938683333334,-4.5575637816666665,3094.1909180000002,301.21261596666665,-1.5355805160000002
2025-03-06 00:00:00+00:00,3035.33422825,296.18229675,0.7330239414999999,2259.83178725,221.0742836,3.18441617475,3214.55145275,313.639045725,0.638006836,3163.3931885,309.7015991,3.9035173655
2025-03-06 01:00:00+00:00,3010.00451675,293.643539425,0.5129457785,2234.99200425,218.50693512499998,2.57620906825,3186.0391235,310.720993025,0.21714704625,3136.60217275,306.86766815,3.242550075
2025-03-06 02:00:00+00:00,3016.8322145,294.16464235,0.0415241825,2241.54492175,219.01704025,2.002931118,3196.21081525,311.5625763,-0.24743527525,3146.26922625,307.60274505,2.589154899
2025-03-06 03:00:00+00:00,2998.2796874,292.21436156,-0.4212994662,2221.6736327999997,216.91375428,1.2943820236,3176.0027345999997,309.42963868,-0.7470444558,3127.2657226,305.5182373,1.8808011533999998
2025-03-06 04:00:00+00:00,3001.991292,292.49394736666665,-0.692069709,2226.2851563333334,217.24356586666667,0.7594854236666667,3184.0604653333335,310.07531739999996,-1.1805894376666668,3132.8037923333336,305.8680013,1.2815502483333334
2025-03-07 00:00:00+00:00,3058.912028,299.41119383333336,3.7046084403333333,2281.2344566666666,223.58376566666666,4.942191918333333,3240.412028,317.1451823,3.5873636403333333,3189.1218263333335,312.7998250333333,5.650545597
2025-03-07 01:00:00+00:00,3059.400309,299.2854410666667,3.1509525776666667,2284.7989906666667,223.8125610333333,4.445529938,3239.746663666667,316.91020710000004,3.0968897343333333,3190.928467,312.7900390666667,5.098844051333334
2025-03-07 02:00:00+00:00,3089.8389483333335,302.21890260000004,3.0109102726666666,2313.362304333333,226.56242876666667,4.227324485666666,3272.3094889999998,320.0490824666667,2.952287912333333,3221.8112793333335,315.73251343333334,4.844487667
2025-03-07 03:00:00+00:00,3099.615478333333,303.2185262333333,3.1480214600000003,2324.5899249999998,227.64120483333332,4.1566519736666665,3287.1092123333333,321.5186666,3.020680666,3237.4777016666667,317.2353414,4.746783733
2025-03-07 04:00:00+00:00,3086.64917,301.8916931,2.9626282455,2312.20751925,226.377002725,3.93502688375,3271.793274,319.923744175,2.7357107995,3222.5268555,315.68341829999997,4.48363447175
2025-03-08 00:00:00+00:00,3055.8709313333334,299.06974283333335,3.5652174156666665,2281.370198666667,223.69338989999997,5.365575790333334,3231.163574,316.1394043,3.3059761523333333,3184.124512,312.35322063333336,5.8039407726666665
2025-03-08 01:00:00+00:00,3063.5339356666664,299.71031696666665,3.2160885333333336,2288.592448,224.30339053333333,4.954567591333333,3239.786295666667,316.8460591666667,2.890408754333333,3191.535888666667,312.9161173333334,5.303696632666667
2025-03-08 02:00:00+00:00,3026.3011475,295.8894577,2.640693724,2251.6376345,220.538524625,4.3324376345,3198.92999275,312.654968275,2.295310199,3151.555298,308.7808151,4.6375181675
2025-03-08 03:00:00+00:00,3027.508545,295.81011962499997,2.002931118,2252.3620607499997,220.4508858,3.651196897,3202.6184695,312.80233765,1.6421592535,3153.939148,308.793373125,3.957010269
2025-03-08 04:00:00+00:00,3049.558187,297.8560587333333,1.6528252363333333,2274.7294923333334,222.56263223333335,3.3137924670000003,3229.463623333333,315.3290202,1.3518971203333334,3181.0178223333332,311.31819663333334,3.5678229333333333
2025-03-09 00:00:00+00:00,3081.0277100000003,301.771270775,4.32340002075,2307.4856565,226.495735175,6.3851977587499995,3258.5317382499998,319.0769882,4.08426964275,3211.047119,315.36100769999996,6.91255486
2025-03-09 01:00:00+00:00,3090.251058,302.59204100000005,4.0628561969999994,2316.9894203333333,227.33272296666667,5.984367370666667,3268.8151856666664,320.00386556666666,3.8456277846666667,3221.142903666667,316.1961161333333,6.440319061333334
2025-03-09 02:00:00+00:00,3067.19506825,300.162445075,3.51489984975,2296.56097425,225.19283295,5.39814376825,3244.79400625,317.43136595,3.1978505255,3201.67083775,314.013000475,5.61797761925
2025-03-09 03:00:00+00:00,3075.338745,300.80393985,3.02173912525,2301.37792975,225.52334975,4.8133853672499995,3253.0979005,318.084411625,2.70273578175,3206.24285875,314.262939475,5.0124572515
2025-03-09 04:00:00+00:00,3112.294108,304.4012959666666,2.9656407833333334,2338.1688639999998,229.05258176666666,4.4862399103333335,3294.9110516666665,322.1811015,2.720729589333333,3247.4280596666667,318.25329586666663,4.873799006
2025-03-10 00:00:00+00:00,3124.875305,306.64717102500003,6.134098649,2351.2348632499998,230.839134225,6.58622360225,3306.2714845,324.43888092500003,6.10942840575,3258.29144275,320.08812715,7.17171490175
2025-03-10 01:00:00+00:00,3119.56054675,306.00485990000004,5.75744998425,2349.798584,230.614299775,6.25476300725,3299.9141845,323.6847229,5.6939424275,3254.3865965,319.56890105,6.76233494275
2025-03-10 02:00:00+00:00,3145.0171713333334,308.4511006333333,5.600065231333333,2369.5262046666667,232.51481626666668,6.094121456,3327.8019203333333,326.38510130000003,5.626119613666667,3273.3150230000006,321.3936157,6.668294906666667
2025-03-10 03:00:00+00:00,3187.34954825,312.706649775,5.9167073965000005,2412.814148,236.82120895,6.3324376345,3382.68371575,331.8762207,5.938202262,3331.50488275,327.174972525,6.86101591575
2025-03-10 04:00:00+00:00,3186.765869,312.74375155,6.2042012215,2411.5758055,236.76649855,6.60649716875,3379.6795045,331.675308225,6.2042012215,3330.0629882499998,327.118103025,7.11284828175
2025-03-11 00:00:00+00:00,3072.0317386666666,301.15087893333333,5.151278495666666,2298.5900880000004,225.50874836666665,5.905878543666667,3246.993245333333,318.26991780000003,5.061716397666666,3200.0305176666666,313.92433673333335,5.836834430666666
2025-03-11 01:00:00+00:00,3085.8033450000003,302.370224,4.738641858,2312.19842525,226.7738571,5.6179776189999995,3264.5479125,319.86016085,4.6653639075,3218.9390869999997,315.6777954,5.53395223625
2025-03-11 02:00:00+00:00,3075.654541,301.1676941,4.079628706,2301.656006,225.590553275,4.98021495325,3252.65734875,318.4350281,3.88666343675,3206.399597,314.194213875,4.7645334005
2025-03-11 03:00:00+00:00,3050.74151625,298.5373993,3.4684904815,2277.09100325,223.011455525,4.247435212,3227.14007575,315.7351837,3.27308249475,3179.3305055,311.34627535,4.15974593175
2025-03-11 04:00:00+00:00,3096.0967613333337,302.84437053333335,3.053248644,2322.5055336666665,227.33706153333333,3.736850738333333,3281.95459,320.95724486666666,2.854258299,3233.6476239999997,316.52123006666665,3.724800586666667
2025-03-12 00:00:00+00:00,3106.1444094999997,304.23373415,4.3309720755,2333.0372925,228.597744,4.69247663,3286.6330565,321.8865738,4.256717086,3241.22570825,317.64466857499997,4.8720077275
2025-03-12 01:00:00+00:00,3106.5816649999997,304.223579425,4.1648753880000005,2332.21337875,228.431667325,4.334880232750001,3287.0942995,321.85421752499997,4.0244259835000005,3239.3190919999997,317.345588675,4.53468477725
2025-03-12 02:00:00+00:00,3098.92999275,303.35567475,3.790913582,2321.8917235,227.317821525,3.90815830225,3277.67913825,320.7836151,3.5911089780000003,3227.388306,316.0173645,4.0547142027500005
2025-03-12 03:00:00+00:00,3106.515625,304.00214639999996,3.4896596273333333,2334.0199383333334,228.42299400000002,3.521250565666667,3288.1513673333334,321.71066286666667,3.370460828,3241.135335333334,317.24827066666666,3.7716984750000004
2025-03-12 04:00:00+00:00,3093.0174970000003,302.5493164,3.073115110333333,2318.377929333333,226.78181456666667,3.1011235713333334,3277.465576,320.51847330000004,2.857840776333333,3229.4179686666666,315.95955399999997,3.2812244893333333
2025-03-13 00:00:00+00:00,3129.74591075,307.75522615,8.08549141875,2358.3600465,231.957191475,8.291157961,3300.7896729999998,324.680664075,8.426966667,3260.191101,320.83397675,8.833903551
2025-03-13 01:00:00+00:00,3145.5195925,309.242591875,7.889594674,2373.35553,233.374862675,8.077430725,3321.716675,326.657074,8.15779232975,3278.6049805000002,322.57416535,8.621397495250001
2025-03-13 02:00:00+00:00,3166.946655,311.317260725,7.7923791407500005,2393.30627475,235.285137175,7.870298028,3349.25610375,329.314003,8.0117248295,3304.44384775,325.0426712,8.4025406835
2025-03-13 03:00:00+00:00,3162.1503905,310.80501555,7.667318105750001,2389.18634,234.82206345,7.63776266575,3344.40258775,328.794052125,7.8873962165,3299.48382575,324.47986605,8.18490529075
2025-03-13 04:00:00+00:00,3173.081542666667,311.84018960000003,7.547630787,2404.9561360000002,236.3481953666667,7.533626556333334,3357.2365723333332,330.00609333333335,7.743038654,3314.9248863333337,325.9474080666667,8.036150932
2025-03-14 00:00:00+00:00,3068.8327635,300.02890015,2.579628706,2295.31805425,224.5674591,3.276990712,3242.3666995,317.0070267,2.61358082275,3198.8269655,313.05298615,3.54469955
2025-03-14 01:00:00+00:00,3132.9812014999998,306.144821175,2.09330725675,2359.2058105,230.70454405,2.80263805375,3317.668823,324.184173575,2.0725451707499998,3270.4680785,319.880126975,2.9958475827499997
2025-03-14 02:00:00+00:00,3111.494629,303.990715025,1.9201270045,2336.78430175,228.43834305,2.49291646475,3296.52667225,322.01514435,1.763312131,3248.42755125,317.598136875,2.609916985
2025-03-14 03:00:00+00:00,3183.75823975,311.10659025,2.0935515165,2408.7147825,235.46842957500002,2.4914509055,3379.90277125,330.239013675,1.9980459215000002,3331.26348875,325.7306824,2.71128487575
2025-03-14 04:00:00+00:00,3148.774292,307.73059845,2.22520756725,2374.16461175,232.11331175,2.57645338775,3337.79467775,326.1867676,2.17659986025,3290.571045,321.77845,2.79433321925
2025-03-15 00:00:00+00:00,3167.100016,309.06849163333334,0.8223416406666667,2388.7784833333335,233.25152076666666,1.392281413,3366.672770333333,328.69510906666665,1.2427943146666667,3318.260498333333,324.08002726666666,1.587689281
2025-03-15 01:00:00+00:00,3183.80065925,310.69608305,0.8155837655,2407.5302735,235.0692482,1.340986848,3381.0665285,330.12921145,1.3488031625,3332.85650625,325.498298625,1.569125533
2025-03-15 02:00:00+00:00,3157.875895333333,308.14224243333337,0.740921676,2384.1748860000002,232.78062946666668,1.294577479,3354.265625,327.42810060000005,1.0991694926666666,3304.9790040000003,322.7486063333333,1.489985347
2025-03-15 03:00:00+00:00,3166.430175666667,308.96646116666665,0.7083536980000001,2393.324219,233.6770986,1.316723704,3362.581787333333,328.2158813333333,0.989741087,3319.916097,324.2283325,1.5554469823333334
2025-03-15 04:00:00+00:00,3163.664429,308.72006225,0.7816316485,2388.6861575000003,233.23210905000002,1.3380557295,3362.0645750000003,328.15579225,0.98534441,3309.8190919999997,323.25492859999997,1.587689281
2025-03-16 00:00:00+00:00,3174.17828375,310.042327875,1.6976062355000001,2398.97003175,234.4387779,2.173913002,3365.0949705000003,328.7863617,1.978505135,3316.82305925,324.265594475,2.5549585817500002
2025-03-16 01:00:00+00:00,3175.4726563333334,310.20489503333334,1.809151649333333,2399.9938963333334,234.54733786666668,2.2061553003333336,3366.623942,328.95874023333334,2.0436410906666667,3319.7024736666667,324.5423991,2.542582671
