Time,P_3_pv0,P_3_pv1,P_3_pv3,T_27_pv1,T_27_pv2
2025-03-09 02:00:00+00:00,1888.8452455000001,185.131061575,4.97068881975,7.0625,7.296875
2025-03-09 03:00:00+00:00,1885.18429575,184.70169065,4.623595357,6.546875,6.78125
2025-03-09 04:00:00+00:00,1883.90020725,184.535396575,4.4088909625,6.53125,6.71875
2025-03-10 00:00:00+00:00,1909.67495725,187.38680265,6.07230091075,8.4375,8.609375
2025-03-10 01:00:00+00:00,1906.4179075,187.03087614999998,5.893991232,8.109375,8.328125
2025-03-10 02:00:00+00:00,1907.68713375,187.13863375,5.796287298,8.234375,8.421875
2025-03-10 03:00:00+00:00,1910.1751405,187.4108429,5.9526135920000005,8.734375,8.875
2025-03-10 04:00:00+00:00,1911.46142575,187.574459075,6.1333658695,8.984375,9.15625
2025-03-11 00:00:00+00:00,1903.9700015,186.76945495,5.781631708,7.640625,7.625
2025-03-11 01:00:00+00:00,1899.5937195000001,186.291416175,5.5251588819999995,7.0,7.0
2025-03-11 02:00:00+00:00,1896.35272225,185.92794035,5.2979972360000005,6.765625,6.796875
2025-03-11 03:00:00+00:00,1889.4769900000001,185.187335975,4.958475828,6.109375,6.328125
2025-03-11 04:00:00+00:00,1887.8988650000001,184.9486046,4.52808976175,5.65625,5.828125
2025-03-12 00:00:00+00:00,1900.82165525,186.35197447500002,5.2271618845,7.34375,7.546875
2025-03-12 01:00:00+00:00,1896.69833375,185.90475845,5.00488531575,6.921875,7.171875
2025-03-12 02:00:00+00:00,1895.91213975,185.77530289999999,4.73131394375,6.71875,6.9375
2025-03-12 03:00:00+00:00,1892.7649535,185.41529845,4.46995592125,6.328125,6.546875
2025-03-12 04:00:00+00:00,1890.06521625,185.10144044999998,4.2232534885,5.984375,6.21875
2025-03-13 00:00:00+00:00,1945.60195925,191.0904274,6.95652151125,9.640625,9.859375
2025-03-13 01:00:00+00:00,1942.3575437499999,190.7704506,6.961406708,9.765625,9.921875
2025-03-13 02:00:00+00:00,1939.86495975,190.54636764999998,7.05666851975,9.875,10.078125
2025-03-13 03:00:00+00:00,1938.639282,190.4285698,7.07132411,9.890625,10.09375
2025-03-13 04:00:00+00:00,1937.6768187500002,190.331848125,7.063996315,9.875,10.09375
2025-03-14 00:00:00+00:00,1916.18676775,187.62763595,4.05691254125,5.640625,5.71875
2025-03-14 01:00:00+00:00,1915.9052125,187.570224775,3.905715704,5.265625,5.453125
