ID_mosta,Trieda_PK,Číslo_PK,Most_DC,Názov_mosta,ID_DC,správcovské_číslo,Zemepisná_šírka,Zemepisná_dĺžka,Výška,Druh_konštrukcie,Material,Normálna_zaťažiteľnosť,Výhradná_zaťažiteľnosť_t,Výnimočná_zaťažiteľnosť_t,Spôsob_stanovenia,Predmet_premostenia,Rok_postavenia,Zaťažovacia_trieda_STN,Počet_otvorov,Dĺžka_premostenia,Dĺžka_nosnej_konštrukcie_m,Volná_šírka_mosta,Šírka_medzi_obrubami_m,Plocha_mosnej_konštrukcie_m2,Plocha_mosta_m2,Vlastník_úseku,Správca_úseku,Okres,Smer_úseku,Typ_úseku,Počiatočný_uzol,Koncový_uzol,úsek_ID,úsekové_staničenie_začiatku_DC_m,Kilometrovníkové_staničenie_začiatku_DC_km,Kumulatívne_staničenie_začiatku_DC_km,Poradie,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,S
M953,cesta II. triedy,536,Dilatačný celok,Most cez Klčovský potok pred obcou Bystrany,M953.01,3,48.94553028,20.774208157,392.392999,trámová,prefabrikovaný predpätý betón,24,56,125,podľa tabuliek,Vodný tok,1961,Nezistený,1.0,12.5,,9.7,7.9,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3721A21700,3721A01700,219508,1338,1.846,1.757,16,Prešov,4,4,4,4,4,4,4,4,6,6,6,6,3830.0
M7151,cesta II. triedy,536,Dilatačný celok,Most cez Hrušovský potok Spišský Hrušov,M7151.01,4,48.945751818,20.706603021,421.8095,dosková,monolitický železobetón,21,25,96,odhadom,Vodný tok,1960,Nezistený,1.0,6.0,,11.4,11.0,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3721A16300,3721A16402,219431,9,8.042,7.92,24,Prešov,4,4,3,3,3,3,4,4,4,4,4,4,4213.0
M3671,cesta II. triedy,536,Dilatačný celok,Most cez potok Lodina za Sp. Hrušovom,M3671.01,5,48.946056608,20.692394505,418.566749,dosková,prefabrikovaný železobetón,36,102,312,podľa tabuliek,Vodný tok,1966,Nezistený,1.0,9.0,,8.5,7.5,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3721A16600,3721A02100,219434,789,9.095,8.97,28,Prešov,3,3,3,3,3,3,4,4,4,4,4,4,4213.0
M4614,cesta II. triedy,536,Dilatačný celok,Most cez Jamnický potok,M4614.01,6,48.941031839,20.656138328,458.497499,dosková,prefabrikovaný železobetón,26,45,290,podľa tabuliek,Vodný tok,1968,Nezistený,1.0,2.7,,7.5,6.5,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A16701,3712A16900,219271,360,11.964,11.827,36,Prešov,3,3,3,3,3,3,3,3,3,3,3,6,7148.0
M7068,cesta II. triedy,536,Dilatačný celok,Most cez potok Odorica,M7068.01,7,48.933801243,20.632193403,440.377999,dosková,prefabrikovaný predpätý betón,21,54,224,odhadom,Vodný tok,1971,Nezistený,1.0,9.9,,9.0,6.5,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A17200,3712A01602,219276,93,14.226,14.084,40,Prešov,4,4,4,4,4,4,4,4,4,4,5,5,7148.0
M589,cesta II. triedy,536,Dilatačný celok,Most cez Levočský potok pred obcou Danišovce,M589.01,8,48.939201893,20.600290715,437.891,dosková,prefabrikovaný železobetón,40,96,251,podľa tabuliek,Vodný tok,1959,Nezistený,1.0,9.3,,7.5,6.5,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A01702,3712A14600,4758,41,16.78,16.62,47,Prešov,4,4,4,4,4,4,4,4,4,2,2,4,9079.0
M6714,cesta II. triedy,536,Dilatačný celok,Most - nadcestie cez ŽSR za mestom Spišská Nová Ves,M6714.01,9,48.939004797,20.590920226,464.80275,dosková,prefabrikovaný predpätý betón,38,92,247,podľa tabuliek,Železnica,1978,Nezistený,1.0,35.02,,19.5,17.0,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A01902,3712A48200,4753,31,17.471,17.311,63,Prešov,4,4,4,4,4,4,4,5,5,5,5,6,7048.0
M2432,cesta II. triedy,533,Dilatačný celok,Most - nadcestie cez cestu II/533 v meste Spišská Nová Ves,M2432.01,10,48.950958752,20.567512777,466.118749,trámová,prefabrikovaný predpätý betón,32,80,196,projektovaná,Cestná komunikácia,1995,Nezistený,4.0,93.94,,8.0,8.0,,,KE SK,SC KSK - SNV,Spišská Nová Ves,"neaplikovateľný, nepoužiteľný",vetva,3712A00407,3712A00405,7169,177,Nezistený,Nezistený,76,Prešov,2,2,2,2,2,2,2,4,4,4,4,4,
M3131,cesta II. triedy,536,Dilatačný celok,Most cez potok Brusník v obci Smižany,M3131.01,14,48.956177864,20.514082033,481.27975,trámová,prefabrikovaný predpätý betón,30,66,152,podľa tabuliek,Vodný tok,1967,Nezistený,1.0,15.8,,10.5,8.5,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A02901,3712A08700,4718,47,22.951,22.787,92,Prešov,3,3,3,3,3,3,3,5,5,5,5,5,8561.0
M559,cesta II. triedy,536,Dilatačný celok,Most cez Arnutovský potok pri obci Arnutovce,M559.01,16,48.974572131,20.490588889,502.089999,dosková,monolitický železobetón,15,26,140,odhadom,Vodný tok,1935,Nezistený,1.0,3.8,,7.0,6.0,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A08900,3712A02201,219192,2034,25.319,25.152,95,Prešov,5,5,5,5,5,5,3,3,3,3,5,5,10252.0
M6053,cesta II. triedy,546,Dilatačný celok,Most cez miestny potok pred obcou Margecany,M6053.01,10,48.89504965,21.018301497,340.378249,dosková,monolitický železobetón,25,44,134,odhadom,Vodný tok,1960,Nezistený,1.0,6.0,,9.6,8.5,,,KE SK,SC KSK - SNV,Gelnica,oba smery trasy CK,medzikrižovatkový,3722B01000,3722A08300,1029696,1127,25.673,25.157,32,Košice,4,4,4,4,4,4,4,4,4,4,4,6,882.0
M112,cesta II. triedy,546,Dilatačný celok,Most cez vodnú nádrž Ružín za obcou Margecany,M112.01,13,48.88934122,21.00937672,330.516499,trámová,monolitický predpätý betón,22,67,156,odhadom,Vodná nádrž,1968,Nezistený,3.0,119.0,,11.0,8.5,,,KE SK,SC KSK - SNV,Gelnica,oba smery trasy CK,medzikrižovatkový,3722A08600,3722A00501,291828,190,26.624,26.105,39,Košice,4,4,4,4,4,4,6,6,6,6,6,6,882.0
M3386,cesta II. triedy,546,Dilatačný celok,Most cez vodnú nádrž Ružín pred obcou Jaklovce,M3386.01,14,48.878808695,20.997178589,331.93975,rámová,monolitický predpätý betón,29,73,181,odhadom,Vodná nádrž,1968,Nezistený,1.0,71.95,,11.2,8.6,,,KE SK,SC KSK - SNV,Gelnica,oba smery trasy CK,medzikrižovatkový,3722A00502,3721A27900,8360,1164,28.146,27.626,41,Košice,3,3,3,3,3,3,4,4,4,6,6,6,5324.0
