ID_mosta;Trieda_PK;Číslo_PK;Zemepisná_šírka;Zemepisná_dĺžka
M5425;cesta II. triedy;550;48.610115823;20.99885155
M2768;cesta II. triedy;550;48.629833537;21.00689378
M7185;cesta II. triedy;550;48.67964392;20.97843927
M210;cesta II. triedy;552;48.65736488;21.355820933
M5144;cesta II. triedy;552;48.657992053;21.381430465
M7439;cesta II. triedy;552;48.659074246;21.393667809
M3812;cesta II. triedy;552;48.652512241;21.404660619
M970;cesta II. triedy;552;48.636276214;21.489858746
M1269;cesta II. triedy;552;48.634472651;21.506611322
M7366;cesta II. triedy;552;48.631586741;21.51719487
M7674;cesta II. triedy;552;48.628394395;21.525536592
M7342;cesta II. triedy;552;48.638330234;21.557345589
M4225;cesta II. triedy;552;48.644235777;21.570122805
M666;cesta II. triedy;552;48.612259655;21.611900696
M5168;cesta II. triedy;552;48.607370095;21.622486674
M2243;cesta II. triedy;552;48.586175204;21.641792597
M3896;cesta II. triedy;552;48.563049339;21.65666687
M1327;cesta II. triedy;552;48.557260497;21.668611514
M5170;cesta II. triedy;552;48.546598943;21.706393235
M7745;cesta II. triedy;552;48.539236659;21.728025479
M2210;cesta II. triedy;552;48.520239824;21.752827678
M2774;cesta II. triedy;552;48.5087742;21.810387877
M7783;cesta II. triedy;552;48.513326189;21.821456189
M48;cesta II. triedy;552;48.516960259;21.829787355
M5206;cesta II. triedy;552;48.529519105;21.859635005
M1828;cesta II. triedy;552;48.562965859;21.923404491
M1683;cesta II. triedy;552;48.570076423;21.973821686
M1510;cesta II. triedy;552;48.569904059;21.981359643
M3088;cesta II. triedy;552;48.559274147;22.002019565
M6042;cesta II. triedy;552;48.557458261;22.043442596
M6283;cesta II. triedy;552;48.556913753;22.122719125
M3126;cesta II. triedy;554;48.728062479;21.787961359
M1077;cesta II. triedy;554;48.743426258;21.78339301
M5835;cesta II. triedy;554;48.760348961;21.783452658
M5827;cesta II. triedy;554;48.767907884;21.783111352
M2107;cesta II. triedy;554;48.777568989;21.780561976
M2387;cesta II. triedy;554;48.787931008;21.77831838
M3929;cesta II. triedy;555;48.678757672;21.994145752
M4356;cesta II. triedy;555;48.646087783;22.010958991
M4732;cesta II. triedy;555;48.628430211;22.04484632
M1027;cesta II. triedy;555;48.580595779;22.099673737
M1483;cesta II. triedy;555;48.547990802;22.072314208
M2479;cesta II. triedy;555;48.525329466;22.052432878
M861;cesta II. triedy;555;48.515104152;22.054069186
